library,version,sign,date
docking-frames,1.1.2-P19,+,2017-02-22
docking-frames,1.1.2-P19,-,2017-05-30
docking-frames,1.1.2-P18a,-,2017-02-22
docking-frames,1.1.2-P17,-,2016-07-26
docking-frames,1.1.2-P19,-,2017-08-23
docking-frames,1.1.2-P19,+,2017-05-30
weasis-core-api,2.5.4-SNAPSHOT,-,2017-05-12
weasis-core-api,2.5.1-SNAPSHOT,-,2016-11-15
weasis-core-api,2.5.1,-,2017-02-20
weasis-core-api,2.5.3-SNAPSHOT,-,2017-02-22
weasis-core-api,2.5.0-SNAPSHOT,-,2016-07-26
weasis-core-api,2.5.2,-,2017-02-22
weasis-core-api,2.5.3,-,2017-05-12
weasis-core-api,3.0.0-SNAPSHOT,-,2017-05-30
weasis-core-api,2.5.0,-,2016-11-15
weasis-opencv-core,2.5.1-SNAPSHOT,+,2017-05-12
weasis-opencv-core,2.5.1-SNAPSHOT,-,2017-05-30
weasis-core-ui,2.5.4-SNAPSHOT,-,2017-05-12
weasis-core-ui,2.5.1-SNAPSHOT,-,2016-11-15
weasis-core-ui,2.5.1,-,2017-02-20
weasis-core-ui,2.5.3-SNAPSHOT,-,2017-02-22
weasis-core-ui,2.5.0-SNAPSHOT,-,2016-07-26
weasis-core-ui,2.5.2,-,2017-02-22
weasis-core-ui,2.5.3,-,2017-05-12
weasis-core-ui,3.0.0-SNAPSHOT,-,2017-05-30
weasis-core-ui,2.5.0,-,2016-11-15
