library,version,sign,date
nuodb-migrator-core,2.0-SNAPSHOT,-,2014-07-31
nuodb-migrator-core,2.4,-,2014-05-11
nuodb-migrator-core,2.0,-,2014-04-26
nuodb-migrator-core,2.4,-,2014-04-27
nuodb-migrator-core,1.0-SNAPSHOT,-,2013-04-12
nuodb-migrator-core,2.0,-,2013-10-12
nuodb-migrator-bootstrap,2.0-SNAPSHOT,-,2014-07-31
nuodb-migrator-bootstrap,2.4,-,2014-05-11
nuodb-migrator-bootstrap,2.0,-,2014-04-26
nuodb-migrator-bootstrap,2.4,-,2014-04-27
nuodb-migrator-bootstrap,1.0-SNAPSHOT,-,2013-04-12
nuodb-migrator-bootstrap,2.0,-,2013-10-12
