library,version,sign,date
junit,4.8.1,+,2012-02-08
junit,4.8.1,-,2012-02-01
junit,4.8.1,-,2012-02-04
junit,4.8.1,+,2012-02-01
rewrite-impl-servlet,1.0.0-SNAPSHOT,-,2011-09-16
rewrite-impl-servlet,1.0.0-SNAPSHOT,+,2011-08-17
jboss-javaee-6.0,3.0.0.Beta1,-,2012-02-01
jboss-javaee-6.0,3.0.0.Beta1,+,2012-02-01
seam-security-external,3.1.0-SNAPSHOT,+,2011-09-15
seam-security-external,3.1.0-SNAPSHOT,-,2011-10-17
seam-faces,3.0.2.Final,-,2011-09-13
seam-faces,3.0.1.Final,+,2011-08-06
seam-faces,3.0.1.Final,-,2011-08-06
seam-security-api,3.1.0-SNAPSHOT,-,2011-09-15
seam-security-api,3.1.0-SNAPSHOT,+,2011-09-13
seam-security-api,3.1.0-SNAPSHOT,+,2011-09-15
seam-security-api,3.1.0-SNAPSHOT,-,2011-10-17
richfaces-core-impl,4.0.0.Final,-,2011-09-13
richfaces-core-impl,4.0.0.Final,-,2011-08-09
richfaces-core-impl,4.0.0.Final,+,2011-08-06
richfaces-core-impl,4.0.0.Final,+,2011-08-09
rewrite-integration-faces,1.0.0-SNAPSHOT,-,2011-09-16
rewrite-integration-faces,1.0.0-SNAPSHOT,+,2011-08-09
richfaces-components-ui,4.0.0.Final,-,2011-09-13
richfaces-components-ui,4.0.0.Final,-,2011-08-09
richfaces-components-ui,4.0.0.Final,+,2011-08-06
richfaces-components-ui,4.0.0.Final,+,2011-08-09
seam-security,3.1.0-SNAPSHOT,-,2011-09-15
seam-security,3.1.0-SNAPSHOT,+,2011-09-13
seam-security,3.1.0-SNAPSHOT,+,2011-09-15
seam-security,3.1.0-SNAPSHOT,-,2011-10-17
hibernate-entitymanager,4.0.0.Alpha2,-,2012-02-01
hibernate-entitymanager,4.0.0.Alpha2,-,2012-02-04
hibernate-entitymanager,4.0.1.Final,+,2012-02-04
hibernate-entitymanager,4.0.1.Final,-,2012-02-08
hibernate-entitymanager,4.0.0.Alpha2,+,2011-10-17
hibernate-entitymanager,3.6.3.Final,+,2011-07-13
hibernate-entitymanager,3.6.3.Final,-,2012-02-01
hibernate-entitymanager,3.6.3.Final,-,2011-08-06
hibernate-entitymanager,3.6.3.Final,+,2012-02-01
hibernate-entitymanager,4.0.0.Alpha2,+,2012-02-01
rewrite-integration-cdi,1.0.0-SNAPSHOT,-,2011-09-16
rewrite-integration-cdi,1.0.0-SNAPSHOT,+,2011-08-09
solder-impl,3.1.0-SNAPSHOT,-,2011-10-17
