library,version,sign,date
hamcrest-date,0.9.3,-,2014-01-28
hamcrest-date,0.9.3,+,2013-05-29
hamcrest-date,0.9.3,+,2014-01-28
jackson-core-asl,1.5.0,-,2016-10-07
jackson-core-asl,1.9.13,+,2016-11-04
jackson-core-asl,1.9.13,+,2016-11-25
jackson-core-asl,1.9.13,-,2016-08-02
jackson-core-asl,1.5.0,+,2014-01-28
jackson-core-asl,1.9.13,-,2016-11-25
jackson-core-asl,1.5.0,-,2014-01-28
jackson-core-asl,1.5.0,+,2013-09-24
jackson-core-asl,1.9.13,+,2017-01-12
groovy-all,1.7.6,+,2016-11-25
groovy-all,1.7.6,-,2016-08-02
groovy-all,1.7.6,+,2016-11-04
groovy-all,1.7.6,-,2016-11-25
groovy-all,1.7.6,+,2017-01-12
joda-time,2.2,+,2014-01-28
joda-time,2.2,-,2014-01-28
joda-time,2.2,-,2017-01-12
geronimo-jms_1.1_spec,1.1.1,+,2014-01-28
geronimo-jms_1.1_spec,1.1.1,-,2013-09-18
geronimo-jms_1.1_spec,1.1.1,+,2013-09-16
geronimo-jms_1.1_spec,1.1.1,+,2013-09-19
geronimo-jms_1.1_spec,1.1.1,-,2014-01-28
jackson-mapper-asl,1.5.0,-,2016-10-07
jackson-mapper-asl,1.9.13,+,2018-04-18
jackson-mapper-asl,1.9.13,+,2016-11-04
jackson-mapper-asl,1.9.13,+,2016-11-25
jackson-mapper-asl,1.9.13,-,2016-11-25
jackson-mapper-asl,1.5.0,-,2014-01-28
jackson-mapper-asl,1.5.0,+,2013-09-24
jackson-mapper-asl,1.9.13,-,2016-08-02
jackson-mapper-asl,1.5.0,+,2014-01-28
jackson-mapper-asl,1.9.13,+,2017-01-12
servlet-api,2.5,+,2014-01-28
servlet-api,2.5,+,2013-05-14
servlet-api,2.5,-,2013-05-23
