library,version,sign,date
slf4j-api,1.7.13,+,2016-01-08
slf4j-api,1.7.13,-,2016-01-13
slf4j-api,1.7.13,+,2016-01-13
slf4j-api,1.7.25,+,2017-08-18
xsom,20140925,+,2016-01-08
xsom,20140925,-,2017-01-19
xsom,20140925,+,2017-01-19
junit,4.12,-,2017-01-19
junit,4.12,+,2017-01-19
junit,4.12,+,2016-01-08
junit,4.12,+,2016-01-13
ifcplugins,0.0.18-SNAPSHOT,-,2017-01-31
ifcplugins,0.0.81-SNAPSHOT,-,2019-09-16
ifcplugins,0.0.76-SNAPSHOT,-,2019-08-09
ifcplugins,0.0.61-SNAPSHOT,-,2019-04-13
ifcplugins,0.0.54-SNAPSHOT,-,2019-01-31
ifcplugins,0.0.51-SNAPSHOT,-,2019-01-18
ifcplugins,0.0.75-SNAPSHOT,-,2019-08-07
ifcplugins,0.0.71-SNAPSHOT,-,2019-07-29
ifcplugins,0.0.69-SNAPSHOT,-,2019-07-12
ifcplugins,0.0.68-SNAPSHOT,-,2019-07-04
ifcplugins,0.0.58-SNAPSHOT,+,2019-03-21
ifcplugins,LATEST,-,2017-01-31
ifcplugins,0.0.73-SNAPSHOT,-,2019-07-31
ifcplugins,0.0.58-SNAPSHOT,-,2019-02-01
ifcplugins,0.0.70-SNAPSHOT,-,2019-07-16
ifcplugins,0.0.62-SNAPSHOT,-,2019-04-15
ifcplugins,0.0.55-SNAPSHOT,-,2019-01-31
ifcplugins,0.0.97-SNAPSHOT,-,2020-02-03
ifcplugins,0.0.19-SNAPSHOT,-,2017-01-31
ifcplugins,0.0.18-SNAPSHOT,+,2017-01-30
ifcplugins,0.0.67-SNAPSHOT,-,2019-07-02
ifcplugins,0.0.95-SNAPSHOT,-,2019-11-22
ifcplugins,0.0.47-SNAPSHOT,-,2018-11-29
ifcplugins,0.0.57-SNAPSHOT,-,2019-02-01
ifcplugins,0.0.47-SNAPSHOT,+,2018-11-22
ifcplugins,0.0.93-SNAPSHOT,-,2019-11-19
ifcplugins,0.0.72-SNAPSHOT,-,2019-07-30
ifcplugins,0.0.63-SNAPSHOT,-,2019-04-29
ifcplugins,0.0.46,-,2019-01-14
ifcplugins,0.0.94-SNAPSHOT,-,2019-11-22
ifcplugins,0.0.58-SNAPSHOT,+,2019-02-01
ifcplugins,0.0.58-SNAPSHOT,-,2019-03-21
ifcplugins,0.0.59-SNAPSHOT,-,2019-04-08
ifcplugins,0.0.64-SNAPSHOT,-,2019-05-28
ifcplugins,0.0.58-SNAPSHOT,-,2019-03-26
bimserverjar,1.5.74,-,2017-05-05
