library,version,sign,date
geronimo-atinject_1.0_spec,1.0,-,2012-09-02
geronimo-atinject_1.0_spec,1.0,+,2012-09-02
org.osgi.core,6.0.0,+,2015-05-19
org.osgi.core,6.0.0,-,2016-10-19
org.osgi.core,5.0.0,-,2015-04-14
org.osgi.core,4.3.0,-,2012-10-06
org.osgi.core,4.3.0,-,2012-09-02
org.osgi.core,5.0.0,+,2015-04-14
org.osgi.core,5.0.0,+,2014-08-09
org.osgi.core,5.0.0,-,2016-10-19
org.osgi.core,6.0.0,+,2016-10-19
org.osgi.core,6.0.0,-,2015-05-19
org.osgi.core,4.3.1,-,2016-10-19
org.osgi.core,6.0.0,+,2014-08-09
org.osgi.core,4.3.0,+,2012-09-02
org.osgi.compendium,4.3.0,-,2012-10-06
org.osgi.compendium,4.3.0,-,2012-09-02
org.osgi.compendium,4.3.1,-,2016-10-19
org.osgi.compendium,6.0.0,+,2014-08-09
org.osgi.compendium,4.3.0,+,2012-09-02
xbean-bundleutils,3.11.1,+,2012-09-02
xbean-bundleutils,3.11.1,-,2012-11-15
xbean-bundleutils,3.11.1,-,2012-09-02
xbean-bundleutils,3.11.1,+,2012-08-18
cdi-api,1.2,+,2014-11-24
