library,version,sign,date
junit,4.11,+,2013-10-28
junit,4.11,+,2014-09-10
junit,4.11,-,2015-08-08
junit,4.11,-,2014-09-10
junit,4.11,+,2013-10-14
junit,4.11,-,2013-10-28
junit,4.11,-,2013-09-22
junit,4.11,+,2013-09-22
logback-classic,1.1.0,+,2014-09-10
logback-classic,1.1.0,-,2014-09-10
logback-classic,1.1.0,-,2015-08-08
logback-classic,1.0.13,-,2014-03-07
logback-classic,1.0.13,+,2013-11-22
jboss-javaee-6.0,3.0.2.Final,+,2014-09-10
jboss-javaee-6.0,3.0.2.Final,-,2014-09-10
jboss-javaee-6.0,1.0.0.Final,+,2013-10-28
jboss-javaee-6.0,1.0.0.Final,-,2014-01-04
jboss-javaee-6.0,1.0.0.Final,+,2013-10-19
jboss-javaee-6.0,3.0.2.Final,+,2013-12-22
jboss-javaee-6.0,1.0.0.Final,-,2013-10-28
jboss-javaee-6.0,1.0.0.Final,+,2013-09-23
jboss-javaee-6.0,3.0.2.Final,-,2015-08-08
jboss-javaee-6.0,1.0.0.Final,+,2013-12-27
jboss-javaee-6.0,1.0.0.Final,-,2013-12-22
javaanpr,1.2.6-SNAPSHOT,-,2013-10-31
javaanpr,1.2.2,-,2013-10-22
javaanpr,1.2.4,-,2013-10-28
javaanpr,1.2.4,+,2013-10-28
javaanpr,1.2.5,-,2013-10-31
javaanpr,1.2.2,+,2013-10-20
javaanpr,1.2.5-SNAPSHOT,-,2013-10-30
javaanpr,1.2.2,+,2013-09-23
javaanpr,1.2.6,-,2014-01-09
javaanpr,1.2.8,-,2014-01-28
javaanpr,1.2.2,-,2013-10-20
guava,13.0.1,+,2014-04-15
guava,13.0.1,-,2015-08-08
commons-lang,20030203.000129,+,2013-10-14
commons-lang,20030203.000129,-,2013-10-28
commons-lang,20030203.000129,-,2014-09-10
commons-lang,20030203.000129,+,2013-10-28
commons-lang,20030203.000129,+,2014-09-10
commons-lang,20030203.000129,-,2013-09-22
commons-lang,20030203.000129,+,2013-09-22
