library,version,sign,date
slf4j-api,1.6.1,-,2012-10-31
slf4j-api,1.5.8,-,2013-09-14
slf4j-api,1.5.8,+,2013-09-14
slf4j-api,1.7.2,+,2012-11-22
slf4j-api,1.5.8,+,2013-04-30
slf4j-api,1.6.1,+,2013-04-30
slf4j-api,1.5.8,-,2013-04-30
slf4j-api,1.5.8,+,2012-12-20
slf4j-api,1.5.8,+,2012-11-22
sirocco-cloudmanager-connector-api,0.6.0,-,2013-11-19
sirocco-cloudmanager-connector-api,0.5.4-SNAPSHOT,-,2012-11-09
sirocco-cloudmanager-connector-api,0.5.5,-,2013-05-02
sirocco-cloudmanager-connector-api,0.5.2-SNAPSHOT,+,2012-06-21
sirocco-cloudmanager-connector-api,0.5.5-SNAPSHOT,-,2012-12-20
sirocco-cloudmanager-connector-api,0.5.3,-,2012-11-09
sirocco-cloudmanager-connector-api,0.5.3-SNAPSHOT,-,2012-10-31
sirocco-cloudmanager-connector-api,0.5.4,-,2012-11-22
sirocco-cloudmanager-connector-api,0.6.0,+,2013-09-14
sirocco-cloudmanager-connector-api,0.5.2-SNAPSHOT,-,2012-07-27
sirocco-cloudmanager-connector-api,0.6.0-SNAPSHOT,-,2013-09-14
sirocco-cloudmanager-connector-api,0.5.2,-,2012-10-12
persistence-api,1.0,-,2013-04-30
persistence-api,1.0,+,2013-09-14
persistence-api,1.0,-,2012-12-20
persistence-api,1.0,+,2012-06-21
persistence-api,1.0,+,2012-11-22
