library,version,sign,date
junit,4.6,+,2009-08-23
hadoop-core,0.20.1,-,2010-01-12
hadoop-core,0.20.2,-,2010-09-10
hadoop-core,0.20.1,-,2010-04-13
hadoop-core,0.20.2,-,2010-11-20
hadoop-core,0.20.1,+,2010-01-12
hadoop-core,0.20.0,-,2009-11-02
hadoop-core,0.20.2,+,2010-09-10
zookeeper,3.3.0,-,2010-09-10
zookeeper,3.3.1,+,2010-11-22
zookeeper,3.3.1,+,2010-09-10
zookeeper,3.2.1,+,2009-11-24
zookeeper,3.3.1,-,2010-11-22
zookeeper,3.2.2,+,2010-01-12
zookeeper,3.2.1,-,2010-01-12
zookeeper,3.2.2,-,2010-04-13
zookeeper,3.3.0,+,2010-04-13
jmxri,1.2.1,-,2010-11-22
jmxri,1.2.1,-,2010-09-10
jmxri,1.2.1,+,2009-11-24
jmxri,1.2.1,-,2009-11-02
jmxri,1.2.1,+,2010-09-10
jline,0.9.9,-,2009-11-16
jline,0.9.9,+,2009-09-02
jline,0.9.9,+,2009-11-16
jline,0.9.9,-,2010-11-22
jline,0.9.9,-,2010-09-10
jline,0.9.9,+,2010-11-22
jline,0.9.9,+,2010-09-10
hbase-trx,0.90.0-DEV-2,+,2010-11-22
commons-logging,1.0.4,-,2010-11-22
guava,r07,-,2010-11-22
guava,r07,+,2010-11-22
hbase,0.89.0-SNAPSHOT,-,2010-12-01
hbase,0.89.0-SNAPSHOT,-,2010-11-22
hbase,0.89.0-SNAPSHOT,-,2010-11-20
hbase,0.89.0-SNAPSHOT,+,2010-11-20
hbase,0.20.6,-,2010-09-10
hbase,0.20.2,-,2010-01-12
hbase,0.89.0-SNAPSHOT,+,2010-11-22
hbase,0.20.3,-,2010-04-13
hbase,0.20.0,-,2009-11-02
hbase,0.19.3,-,2009-08-21
hbase,0.89.20100924,+,2010-11-22
hbase,0.89.20100924,-,2010-11-22
hbase,0.20.3,+,2010-01-12
hbase,0.90.0-SNAPSHOT,+,2010-12-01
hbase,0.20.1,-,2009-11-18
hbase,0.20.4,-,2010-05-08
antlr-runtime,3.2,-,2009-11-16
antlr-runtime,3.2,+,2009-11-16
antlr-runtime,3.2,+,2010-09-10
antlr-runtime,3.2,-,2010-11-22
antlr-runtime,3.2,-,2010-09-10
log4j,1.2.15,+,2010-11-22
log4j,1.2.15,-,2010-11-22
