library,version,sign,date
shim-api,9.0.0.0-SNAPSHOT,-,2019-10-31
zookeeper,3.4.5-cdh5.14.0,-,2019-10-10
zookeeper,3.4.5-cdh5.14.0,+,2019-10-10
zookeeper,3.4.5-cdh6.1.0,+,2019-10-10
zookeeper,3.4.6.3.0.0.0-1634,-,2019-10-10
zookeeper,3.4.5-cdh6.1.0,-,2019-10-10
zookeeper,3.4.13,+,2020-02-06
zookeeper,3.4.5-mapr-1710,+,2019-10-17
zookeeper,3.4.6.2.6.0.3-8,-,2019-10-10
zookeeper,3.4.6.2.6.0.3-8,+,2019-10-10
zookeeper,3.4.6.3.0.0.0-1634,+,2019-10-10
protobuf-java,2.5.0,+,2019-10-10
protobuf-java,2.5.0,+,2020-02-06
protobuf-java,2.5.0,-,2019-10-10
hive-jdbc,3.1.0.3.0.0.0-1634,-,2019-10-10
hive-jdbc,2.3.6,+,2020-02-06
hive-jdbc,3.1.0.3.0.0.0-1634,+,2019-10-10
org.osgi.core,4.3.1,+,2019-10-17
org.osgi.core,4.3.1,-,2018-05-11
pentaho-hdfs-vfs,9.1.0.0-SNAPSHOT,+,2019-10-31
pentaho-hdfs-vfs,9.0.0.0-SNAPSHOT,-,2019-10-31
pentaho-hadoop-shims-common-mapreduce,9.0.0.0-SNAPSHOT,+,2019-10-10
pentaho-hadoop-shims-common-mapreduce,9.0.0.0-SNAPSHOT,-,2019-10-31
xstream,1.4.9,-,2019-09-30
htrace-core,2.04,-,2019-10-10
htrace-core,2.04,+,2019-10-10
htrace-core,2.04,+,2020-02-06
htrace-core,3.1.0-incubating,+,2020-01-14
htrace-core,3.2.0-incubating,+,2019-10-10
sqoop,1.4.6-mapr-1710,+,2019-10-17
sqoop,1.4.7,-,2019-10-10
sqoop,1.4.7-cdh6.1.0,-,2019-10-10
sqoop,1.4.6-cdh5.14.0,-,2019-10-10
sqoop,1.4.6-cdh5.14.0,+,2019-10-10
sqoop,1.4.6.2.6.0.3-8,+,2019-10-10
sqoop,1.4.7-cdh6.1.0,+,2019-10-10
sqoop,1.4.6.2.6.0.3-8,-,2019-10-10
sqoop,1.4.7,+,2020-02-06
sqoop,1.4.7,+,2019-10-10
pig,0.17.0,-,2019-10-10
pig,0.16.0.2.6.0.3-8,-,2019-10-10
pig,0.17.0-cdh6.1.0,+,2019-10-10
pig,0.16.0.2.6.0.3-8,+,2019-10-10
pig,0.16.0-mapr-1703,+,2019-10-17
pig,0.17.0-cdh6.1.0,-,2019-10-10
pig,0.12.0-cdh5.14.0,-,2019-10-10
pig,0.17.0,+,2019-10-10
pig,0.17.0,+,2020-02-06
pig,0.12.0-cdh5.14.0,+,2019-10-10
