library,version,sign,date
jackson-annotations,2.6.5,-,2016-09-28
jackson-annotations,2.6.5,+,2016-09-28
jackson-annotations,2.6.5,+,2016-03-03
uimaj-core,2.8.1,-,2016-03-03
uimaj-core,2.4.2,-,2015-12-07
uimaj-core,2.8.1,+,2016-03-03
logback-classic,1.0.13,-,2016-09-28
stanford-corenlp,3.3.1,-,2016-03-03
stanford-corenlp,3.3.1,-,2015-12-07
stanford-corenlp,3.3.1,+,2016-03-03
jsoup,1.8.3,-,2016-09-28
gson,2.6.1,+,2015-12-07
gson,2.2.4,-,2015-12-07
heideltime,2.0.1,-,2015-12-02
heideltime,2.0.1-SNAPSHOT,-,2016-03-03
heideltime,2.0,-,2015-12-07
heideltime,2.0.1-SNAPSHOT,+,2015-12-02
heideltime,2.1,+,2016-03-03
