library,version,sign,date
hibernate-jpa-2.0-api,1.0.1.Final,-,2017-11-30
hibernate-jpa-2.0-api,1.0.1.Final,+,2017-11-30
hibernate-jpa-2.0-api,1.0.1.Final,+,2013-07-14
hibernate-jpa-2.0-api,1.0.1.Final,-,2013-07-14
protobuf-java,2.5.0,+,2017-11-30
protobuf-java,2.5.0,-,2013-07-14
protobuf-java,[2.5.0],-,2017-11-30
protobuf-java,[2.5.0],+,2013-07-14
protobuf-java,[2.5.0],+,2017-11-30
protobuf-java,2.5.0,-,2017-11-30
GameShared,0.0.1-SNAPSHOT,-,2013-07-14
GameShared,0.0.1-SNAPSHOT,-,2017-11-30
GameShared,0.0.1-SNAPSHOT,+,2017-11-30
GameShared,0.0.1-SNAPSHOT,+,2013-07-14
hibernate-commons-annotations,5.0.1.Final,+,2017-11-30
hibernate-commons-annotations,4.0.1.Final,-,2017-11-30
hibernate-commons-annotations,4.0.1.Final,+,2013-07-14
hibernate-commons-annotations,4.0.1.Final,-,2013-07-14
