library,version,sign,date
jslib_jquery.hashable,1.0.0,+,2013-06-10
junit,4.9,+,2012-08-10
junit,4.10,+,2013-07-03
junit,4.10,-,2014-01-18
junit,4.10,+,2014-01-18
junit,4.9,+,2012-08-08
junit,4.7,+,2013-06-10
junit,4.9,-,2012-08-10
junit,4.9,-,2013-06-03
jslib_jquery-amd,1.7.1-alpha-1,+,2013-06-10
jslib_jquery-ui-amd,1.8.16-alpha-1,+,2013-06-10
almond,0.1.4,+,2013-06-10
jslib_jsonpath-amd,0.8.0,+,2013-06-10
jslib_xml2json-amd,1.1,+,2013-06-10
qunit,1.5.11,+,2013-06-10
gson,1.7.1,+,2012-08-10
gson,1.7.1,-,2012-08-10
gson,1.7.2,+,2013-06-10
gson,1.7.2,-,2012-09-25
gson,1.7.2,+,2012-08-08
gson,1.7.1,-,2013-06-03
jquery,1.7.2,+,2013-06-10
