library,version,sign,date
slf4j-api,1.6.1,+,2012-08-10
slf4j-api,1.6.1,-,2013-11-26
slf4j-api,1.6.1,-,2012-08-10
slf4j-api,1.6.1,-,2013-11-25
slf4j-api,1.6.4,+,2013-08-08
slf4j-api,1.6.1,+,2013-11-26
slf4j-api,1.6.1,+,2013-11-25
mockito-all,1.8.5,-,2013-11-25
mockito-all,1.8.5,-,2013-11-26
mockito-all,1.8.5,+,2013-11-25
mockito-all,1.8.5,+,2012-08-10
mockito-all,1.8.5,+,2012-09-10
mockito-all,1.8.5,-,2012-08-10
mockito-all,1.8.5,+,2013-11-26
jackson-core-asl,1.8.2,+,2012-08-10
jackson-core-asl,1.8.2,+,2013-11-26
jackson-core-asl,1.8.2,+,2013-11-25
jackson-core-asl,1.8.2,-,2012-08-10
jackson-core-asl,1.8.2,-,2013-11-26
jackson-core-asl,1.8.2,-,2013-11-25
junit,4.9,+,2013-06-10
junit,3.8.1,+,2014-05-30
junit,4.10,+,2013-06-03
junit,4.9,+,2013-11-25
junit,4.9,-,2013-11-25
junit,3.8.1,-,2014-05-13
junit,3.8.1,-,2013-01-07
junit,3.8.1,+,2012-09-10
junit,4.8.2,+,2012-09-10
junit,3.8.1,+,2013-09-19
junit,3.8.1,+,2012-11-03
junit,3.8.1,+,2012-10-19
junit,4.10,-,2013-06-10
junit,4.8.2,+,2013-08-08
junit,4.9,+,2012-08-10
junit,3.8.1,-,2012-11-03
junit,4.10,+,2012-09-10
junit,3.8.1,+,2013-08-22
junit,4.10,+,2013-07-08
junit,3.8.1,+,2012-09-20
junit,4.9,-,2012-08-10
junit,3.8.1,+,2013-01-22
junit,4.7,+,2013-08-02
junit,3.8.1,+,2012-12-24
junit,3.8.1,+,2014-05-13
plexus-utils,3.0,-,2013-01-07
plexus-utils,3.0,+,2013-11-25
plexus-utils,3.0,+,2012-09-20
plexus-utils,3.0,+,2012-09-10
plexus-utils,3.0,+,2012-08-10
plexus-utils,1.5.1,+,2013-10-28
plexus-utils,3.0,+,2013-01-22
plexus-utils,3.0,+,2012-10-19
plexus-utils,3.0,-,2013-11-25
plexus-utils,3.0,-,2012-08-10
slf4j-jcl,1.6.1,+,2012-08-10
slf4j-jcl,1.6.1,-,2013-11-26
slf4j-jcl,1.6.1,-,2012-08-10
slf4j-jcl,1.6.1,-,2013-11-25
slf4j-jcl,1.6.1,+,2013-11-26
slf4j-jcl,1.6.1,+,2013-11-25
jetty-server,7.4.2.v20110526,-,2013-11-25
jetty-server,7.4.2.v20110526,-,2013-11-26
jetty-server,7.4.2.v20110526,+,2012-08-10
jetty-server,7.4.2.v20110526,-,2012-08-10
jetty-server,7.4.2.v20110526,+,2013-11-26
jetty-server,7.4.2.v20110526,-,2013-02-12
jetty-server,7.4.2.v20110526,+,2012-09-10
jetty-server,7.4.2.v20110526,+,2013-11-25
jsr250-api,1.0,-,2012-08-10
jsr250-api,1.0,+,2013-11-26
jsr250-api,1.0,+,2013-11-25
jsr250-api,1.0,-,2013-11-25
jsr250-api,1.0,-,2013-11-26
jsr250-api,1.0,+,2012-08-10
servlet-api,2.5,-,2013-11-25
servlet-api,2.5,-,2013-11-26
servlet-api,2.5,-,2012-08-10
servlet-api,2.5,+,2012-09-10
servlet-api,2.5,+,2012-08-10
servlet-api,2.5,+,2013-11-26
servlet-api,2.5,+,2013-11-25
javax.inject,1,+,2012-08-10
javax.inject,1,+,2013-11-26
javax.inject,1,+,2013-11-25
javax.inject,1,-,2012-08-10
javax.inject,1,-,2013-11-26
javax.inject,1,-,2013-11-25
