library,version,sign,date
junit,3.8.1,+,2012-09-05
junit,3.8.1,-,2012-09-05
junit,3.8.1,-,2012-09-12
junit,4.10,-,2012-09-28
jackson-core-asl,1.9.6,+,2012-08-09
jackson-core-asl,1.9.6,-,2012-09-28
jackson-core-asl,1.9.6,-,2012-09-05
jackson-core-asl,1.9.6,+,2012-09-05
pressgang-ccms-zanata,1.0,-,2012-09-11
pressgang-ccms-zanata,1.0-SNAPSHOT,+,2012-11-14
pressgang-ccms-zanata,1.0-SNAPSHOT,+,2012-07-25
pressgang-ccms-zanata,1.0-SNAPSHOT,-,2013-03-07
pressgang-ccms-zanata,1.0-SNAPSHOT,-,2012-11-14
pressgang-ccms-zanata,1.0,+,2012-09-05
pressgang-ccms-zanata,1.0-SNAPSHOT,-,2012-07-31
pressgang-ccms-zanata,1.0,-,2012-09-05
joda-time,2.1,-,2012-09-28
joda-time,2.1,-,2012-09-05
joda-time,2.1,+,2012-09-05
joda-time,2.1,+,2012-08-29
pressgang-ccms-utils,1.0,-,2012-09-11
pressgang-ccms-utils,1.0-SNAPSHOT,+,2012-11-14
pressgang-ccms-utils,1.0-SNAPSHOT,+,2012-07-25
pressgang-ccms-utils,1.0-SNAPSHOT,-,2013-03-07
pressgang-ccms-utils,1.0-SNAPSHOT,-,2012-11-14
pressgang-ccms-utils,1.0,+,2012-09-05
pressgang-ccms-utils,1.0-SNAPSHOT,-,2012-07-31
pressgang-ccms-utils,1.0,-,2012-09-05
resteasy-atom-provider,2.3.4.Final,-,2012-09-28
resteasy-atom-provider,2.3.4.Final,-,2012-09-05
resteasy-atom-provider,2.3.4.Final,+,2012-07-24
resteasy-atom-provider,2.3.4.Final,+,2012-09-05
resteasy-jaxrs,2.3.4.Final,-,2012-09-28
resteasy-jaxrs,2.3.4.Final,-,2012-09-05
resteasy-jaxrs,2.3.4.Final,+,2012-07-24
resteasy-jaxrs,2.3.4.Final,+,2012-09-05
jackson-mapper-asl,1.9.6,+,2012-08-09
jackson-mapper-asl,1.9.6,-,2012-09-28
jackson-mapper-asl,1.9.6,-,2012-09-05
jackson-mapper-asl,1.9.6,+,2012-09-05
mockito-core,1.9.0,+,2012-09-12
mockito-core,1.9.0,-,2012-09-28
