library,version,sign,date
spring-data-jpa,1.3.2.RELEASE,+,2013-07-04
hibernate-jpa-2.0-api,1.0.1.Final,+,2013-07-04
mockito-all,1.8.4,+,2013-07-04
mockito-all,1.8.4,-,2013-06-27
mockito-all,1.8.4,-,2013-07-04
dbunit,2.4.9,+,2013-07-04
junit,4.8.1,+,2013-07-04
junit,4.8.1,-,2013-06-27
junit,4.8.1,-,2013-07-04
postgresql,9.1-901.jdbc4,+,2013-07-04
hibernate-entitymanager,4.2.2.Final,+,2013-07-04
hibernate-entitymanager,4.2.2.Final,-,2013-07-04
hibernate-entitymanager,4.2.2.Final,+,2013-06-27
h2,1.3.172,+,2013-07-04
commons-dbcp,1.4,+,2013-06-27
hibernate-core,4.2.2.Final,+,2013-07-04
hibernate-core,4.2.2.Final,-,2013-07-04
hibernate-core,4.2.2.Final,+,2013-06-27
