library,version,sign,date
rest-api,12.0-SNAPSHOT,+,2012-11-29
rest-api,1.0-SNAPSHOT,-,2012-04-30
rest-api,12.0-SNAPSHOT,-,2013-02-04
rest-api,1.0-SNAPSHOT,+,2012-04-19
rest-api,1.0-SNAPSHOT,-,2012-11-29
rest-persistence,1.0-SNAPSHOT,-,2012-04-30
rest-persistence,1.0-SNAPSHOT,+,2012-04-10
rest-persistence,12.0-SNAPSHOT,-,2013-02-04
rest-persistence,1.0-SNAPSHOT,+,2012-04-19
rest-persistence,1.0-SNAPSHOT,-,2012-11-29
rest-client,12.0-SNAPSHOT,+,2012-04-30
rest-client,12.0-SNAPSHOT,+,2012-11-29
rest-client,12.0-SNAPSHOT,-,2013-02-04
jetty-servlet-tester,7.0.0.pre5,+,2012-11-29
jetty-servlet-tester,7.0.0.pre5,-,2012-11-29
jetty-servlet-tester,7.0.0.pre5,+,2012-04-03
gson,2.1,+,2012-11-29
gson,2.1,-,2012-11-29
gson,2.1,+,2012-04-03
httpclient,4.2.1,+,2013-03-11
httpclient,4.2.1,+,2012-11-29
httpclient,4.1.3,+,2012-04-03
httpclient,4.2.1,-,2013-03-11
