library,version,sign,date
hamcrest-library,1.2.1,-,2011-03-15
hamcrest-library,1.2.1,-,2011-04-26
hamcrest-library,1.2.1,+,2011-03-15
hamcrest-library,1.2.1,+,2011-04-26
hamcrest-library,1.2.1,-,2011-10-21
junit,4.10,-,2012-12-10
junit,4.10,+,2011-10-21
junit,4.11,+,2012-12-10
jcl-over-slf4j,1.6.1,+,2011-04-26
jcl-over-slf4j,1.6.1,-,2011-04-26
jcl-over-slf4j,1.6.1,-,2011-08-31
jetty-servlets,7.4.5.v20110725,-,2011-08-31
jetty-servlets,7.3.1.v20110307,-,2011-07-18
jetty-servlets,7.3.1.v20110307,+,2011-05-19
jetty-servlets,7.3.1.v20110307,+,2011-06-09
jetty-servlets,7.3.1.v20110307,-,2011-06-05
jetty-servlet,7.4.5.v20110725,-,2011-08-31
jetty-servlet,7.3.1.v20110307,-,2011-07-18
jetty-servlet,7.3.1.v20110307,+,2011-05-19
jetty-servlet,7.3.1.v20110307,+,2011-06-09
jetty-servlet,7.3.1.v20110307,-,2011-06-05
joda-time,1.6.2,+,2011-05-08
joda-time,1.6.2,-,2011-07-18
joda-time,2.0,-,2011-10-21
commons-io,2.0.1,-,2011-04-26
commons-io,2.0.1,+,2011-04-26
commons-io,2.0.1,-,2011-09-12
commons-io,2.1,-,2011-10-21
commons-lang,2.6,-,2011-04-26
commons-lang,2.6,-,2011-03-15
commons-lang,2.6,+,2011-03-15
commons-lang,2.6,-,2011-10-21
commons-lang,2.6,+,2011-04-26
json-path,0.5.5,-,2011-10-21
json-path,0.5.3,-,2011-07-18
json-path,0.5.3,+,2011-05-14
httpclient,4.1.3,-,2012-06-12
httpclient,4.1.1,+,2011-04-26
httpclient,4.2,+,2012-12-10
httpclient,4.2,-,2013-04-19
httpclient,4.5.1,+,2014-11-11
httpclient,4.2.5,-,2014-11-11
httpclient,4.1.2,+,2011-10-21
httpclient,4.1.2,-,2011-10-21
httpclient,4.2.5,+,2013-04-19
httpclient,4.1.1,-,2011-04-26
httpclient,4.1.1,-,2011-07-18
httpclient,4.1,-,2011-04-23
httpclient,4.1.3,+,2012-03-16
httpclient,4.1.2,-,2012-03-16
