library,version,sign,date
junit,4.8.2,+,2011-07-01
spark-api,0.1.3,-,2011-07-01
spark-api,0.1.5-SNAPSHOT,-,2011-09-29
spark-api,0.1.5,-,2011-10-11
spark-api,0.1.4,-,2011-09-29
spark-api,0.1.4-SNAPSHOT,-,2011-08-08
spark-api,0.1.3-SNAPSHOT,-,2011-06-24
spark-api,0.1.6,-,2012-03-27
spark-api,0.1.6-SNAPSHOT,-,2011-10-11
woodstox-core-asl,4.1.1,+,2011-07-01
spark-spi,0.1.5,-,2011-10-11
spark-spi,0.1.4,-,2011-09-29
spark-spi,0.1.3,-,2011-07-01
spark-spi,0.1.5-SNAPSHOT,-,2011-09-29
spark-spi,0.1.4-SNAPSHOT,-,2011-08-08
spark-spi,0.1.3-SNAPSHOT,-,2011-06-24
spark-spi,0.1.6,-,2012-03-27
spark-spi,0.1.6-SNAPSHOT,-,2011-10-11
