library,version,sign,date
costello,1.0.2,+,2012-04-26
costello,1.0.2,-,2015-07-29
costello,1.0.2,+,2010-08-23
costello,1.0.2,+,2011-02-11
costello,1.0.2,-,2010-08-23
costello,1.0.2,-,2011-08-25
costello,1.0.2,-,2011-02-11
costello,1.0.2,-,2010-08-27
jretrofit,1.0,-,2010-08-27
jretrofit,1.0,-,2011-02-11
jretrofit,1.0,-,2010-08-23
jretrofit,1.0,+,2010-08-23
jretrofit,1.0,+,2011-09-15
jretrofit,1.0,+,2011-02-11
jretrofit,1.0,-,2011-08-25
jretrofit,1.0,-,2015-09-25
junit,4.5,-,2011-08-25
junit,4.5,-,2010-08-23
junit,4.5,-,2010-08-27
junit,4.5,+,2010-08-23
junit,4.5,-,2011-02-11
junit,4.5,+,2011-02-11
junit,4.5,-,2015-07-29
junit,4.5,+,2011-09-15
abbot,1.0.2,+,2011-09-15
abbot,1.0.2,-,2015-07-29
abbot,1.0.2,+,2010-08-23
abbot,1.0.2,+,2011-02-11
abbot,1.0.2,-,2010-08-23
abbot,1.0.2,-,2011-08-25
abbot,1.0.2,-,2011-02-11
abbot,1.0.2,-,2010-08-27
jdave-junit4,1.1,+,2011-02-11
jdave-junit4,1.1,+,2012-04-26
jdave-junit4,1.1,-,2011-08-25
jdave-junit4,1.1,-,2011-02-11
jdave-junit4,1.1-rc1,-,2010-08-23
jdave-junit4,1.1-rc1,+,2010-08-23
jdave-junit4,1.1-rc1,-,2010-08-27
javalib-core,1.1,-,2014-01-13
javalib-core,0.9.1,-,2012-04-27
javalib-core,0.8.1,-,2011-02-11
javalib-core,0.8.1,-,2010-08-23
javalib-core,0.8.1,-,2010-08-27
javalib-core,1.0.3,-,2013-02-27
javalib-core,0.8.1,-,2011-08-25
javalib-core,1.0.1,-,2012-11-21
javalib-core,0.8.1,+,2010-08-23
javalib-core,0.9.1,+,2011-09-15
javalib-core,0.8.1,+,2011-02-11
beaninject,0.3,-,2011-08-25
beaninject,0.3,-,2011-02-11
beaninject,0.3,+,2012-04-27
beaninject,0.3,+,2010-08-23
beaninject,0.3,-,2010-08-27
beaninject,0.3,-,2015-09-30
beaninject,0.3,-,2010-08-23
beaninject,0.3,+,2011-02-11
jdom,1.0,-,2010-08-27
jdom,1.0,-,2011-02-11
jdom,1.0,-,2010-08-23
jdom,1.0,+,2012-04-26
jdom,1.0,+,2010-08-23
jdom,1.0,+,2011-02-11
jdom,1.0,-,2011-08-25
commons-collections,3.2,-,2010-08-27
commons-collections,3.2,-,2010-08-23
commons-collections,3.2,+,2012-04-27
commons-collections,3.2,+,2011-02-11
commons-collections,3.2,+,2010-08-23
commons-collections,3.2,-,2011-08-25
commons-collections,3.2,-,2011-02-11
paranamer,1.1.2,+,2012-04-27
paranamer,1.1.2,+,2010-08-23
paranamer,1.1.2,+,2011-02-11
paranamer,1.1.2,-,2011-08-25
paranamer,1.1.2,-,2010-08-23
paranamer,1.1.2,-,2011-02-11
paranamer,1.1.2,-,2010-08-27
javatools-test,0.3,-,2013-03-05
javatools-test,0.2,-,2011-02-11
javatools-test,0.2,+,2011-02-11
javatools-test,0.2,+,2010-08-23
javatools-test,0.2,-,2013-01-24
javatools-test,0.2,-,2011-08-25
javatools-test,0.2,+,2012-04-26
javatools-test,0.2,-,2010-08-27
javatools-test,0.2,-,2010-08-23
gnu-regexp,1.1.4,+,2011-02-11
gnu-regexp,1.1.4,+,2010-08-23
gnu-regexp,1.1.4,-,2010-08-27
gnu-regexp,1.1.4,-,2011-02-11
gnu-regexp,1.1.4,+,2012-09-13
gnu-regexp,1.1.4,-,2011-08-25
gnu-regexp,1.1.4,-,2010-08-23
jemmy,2.2.7.5,+,2011-09-15
jemmy,2.2.7.5,-,2010-08-23
jemmy,2.2.7.5,-,2011-02-11
jemmy,2.2.7.5,-,2010-08-27
jemmy,2.2.7.5,+,2010-08-23
jemmy,2.2.7.5,+,2011-02-11
jemmy,2.2.7.5,-,2011-08-25
