library,version,sign,date
dragontool,2011-10-12,+,2013-06-06
dragontool,2011-10-12,-,2013-06-06
commons-configuration,1.6,-,2013-06-06
commons-configuration,1.6,+,2013-06-06
uimaj-adapter-soap,2.3.0-incubating,-,2013-06-06
uimaj-adapter-soap,2.3.0-incubating,+,2013-06-06
lucene-snowball,2.9.3,+,2013-06-06
lucene-snowball,2.9.3,-,2013-06-06
junit,4.4,+,2013-06-06
junit,4.4,-,2013-06-06
uimaj-core,2.3.0-incubating,-,2013-06-06
uimaj-core,2.3.0-incubating,+,2013-06-06
opennlp-uima,1.4.3,+,2013-06-06
opennlp-uima,1.4.3,-,2013-12-30
opennlp-uima,1.4.3,+,2013-12-30
opennlp-uima,1.4.3,-,2013-06-06
commons-net,3.3,+,2013-06-06
uimaj-examples,2.3.0-incubating,-,2013-06-06
uimaj-examples,2.3.0-incubating,+,2013-06-06
uimaj-adapter-vinci,2.3.0-incubating,-,2013-06-06
uimaj-adapter-vinci,2.3.0-incubating,+,2013-06-06
scala-library,2.9.2,-,2013-06-06
scala-library,2.9.2,+,2012-06-21
scala-library,2.9.2,+,2013-06-06
banner,2011-10-12,+,2013-06-06
banner,2011-10-12,-,2013-06-06
mallet,2.0.7,+,2013-06-06
mallet,2.0.7,-,2013-06-06
commons-io,2.0,+,2013-06-06
commons-io,2.0,-,2013-06-06
automaton,2011-10-12,-,2012-06-28
automaton,2012-06-28,+,2013-06-06
automaton,2012-06-28,-,2013-06-06
automaton,2012-06-28,+,2012-06-26
uimaj-cpe,2.3.0-incubating,-,2013-06-06
uimaj-cpe,2.3.0-incubating,+,2013-06-06
jewelcli,0.6,+,2013-06-06
jewelcli,0.6,-,2013-06-06
uimaj-document-annotation,2.3.0-incubating,-,2013-06-06
uimaj-document-annotation,2.3.0-incubating,+,2013-06-06
eumed,2013-6-4,+,2012-11-15
eumed,2013-6-4,+,2013-06-06
eumed,2013-6-4,-,2013-06-06
uimafit,1.2.0,-,2013-06-06
uimafit,1.1.0,-,2013-06-06
uimafit,1.2.0,+,2013-06-06
uimafit,1.1.0,+,2013-06-06
heptag,2011-10-12,+,2013-06-06
heptag,2011-10-12,-,2013-06-06
opsin-inchi,1.2.0,-,2013-06-06
opsin-inchi,1.2.0,+,2013-06-06
opsin-inchi,1.2.0,+,2012-05-25
uimaj-tools,2.3.0-incubating,-,2013-06-06
uimaj-tools,2.3.0-incubating,+,2013-06-06
