library,version,sign,date
vtd-xml,2.11,+,2014-04-21
pax-web-features,3.1.2,-,2016-09-08
pax-web-features,3.2.4,-,2017-01-10
pax-web-features,3.1.2,+,2015-08-05
pax-web-features,3.1.2,-,2016-07-21
pax-web-features,3.2.4,-,2017-06-08
pax-web-features,3.2.4,-,2016-08-04
pax-web-features,3.2.4,-,2016-06-20
pax-web-features,3.1.2,+,2016-03-28
pax-web-features,6.0.3,-,2017-05-18
pax-web-features,3.1.2,-,2017-10-11
pax-web-features,3.1.2,+,2016-09-15
pax-web-features,4.3.0,-,2017-07-10
pax-web-features,6.0.3,+,2017-10-11
pax-web-features,3.1.2,-,2016-05-18
pax-web-features,3.1.2,-,2016-09-15
pax-web-features,3.1.2,-,2017-02-28
pax-web-features,3.2.4,-,2017-10-17
pax-web-features,3.2.4,+,2017-02-28
opennms,21.1.0-SNAPSHOT,-,2018-03-20
opennms,${project.version},-,2017-01-10
opennms,19.0.0-SNAPSHOT,-,2016-05-06
opennms,19.0.0-SNAPSHOT,-,2016-05-04
opennms,19.0.0-SNAPSHOT,-,2016-05-10
opennms,1.11.2,+,2012-08-28
opennms,1.11.2-SNAPSHOT,-,2012-08-21
opennms,21.0.0-SNAPSHOT,-,2017-07-10
opennms,1.11.0-SNAPSHOT,-,2011-12-01
opennms,18.0.0-SNAPSHOT,-,2015-10-14
opennms,1.9.92,-,2011-10-12
opennms,1.11.0-SNAPSHOT,-,2012-01-28
opennms,1.8.0,-,2013-02-28
opennms,17.0.1-SNAPSHOT,-,2017-02-28
opennms,1.11.90-SNAPSHOT,-,2013-03-21
opennms,1.9.91-SNAPSHOT,-,2011-08-11
opennms,1.8.0,-,2013-01-23
opennms,19.0.0-SNAPSHOT,-,2017-05-25
opennms,19.0.0-SNAPSHOT,-,2017-05-26
opennms,19.0.0-SNAPSHOT,-,2017-05-18
opennms,14.0.2,-,2014-12-11
opennms,1.9.90-SNAPSHOT,+,2011-06-17
opennms,21.0.0,-,2017-10-19
opennms,18.0.1,-,2016-07-21
opennms,25.0.0,-,2019-09-26
opennms,22.0.3-SNAPSHOT,-,2018-07-20
opennms,17.0.1-SNAPSHOT,-,2015-12-01
opennms,22.0.3-SNAPSHOT,-,2018-07-26
opennms,14.0.3-SNAPSHOT,-,2014-12-25
opennms,1.11.94,+,2013-07-25
opennms,24.1.2-SNAPSHOT,-,2019-06-20
opennms,1.9.9-SNAPSHOT,-,2011-05-11
opennms,1.11.3,+,2012-10-10
opennms,1.9.93,-,2011-11-09
opennms,22.0.0-SNAPSHOT,-,2018-04-13
opennms,17.0.1-SNAPSHOT,-,2016-03-24
opennms,1.9.8-SNAPSHOT,-,2011-04-22
opennms,1.10.1-SNAPSHOT,-,2012-02-23
opennms,1.11.94-SNAPSHOT,-,2013-07-17
opennms,23.0.0-SNAPSHOT,-,2018-07-26
opennms,1.8.0,+,2012-10-23
opennms,25.0.0-SNAPSHOT,-,2019-09-23
opennms,14-SNAPSHOT,-,2014-10-03
opennms,25.0.0-SNAPSHOT,-,2019-10-23
opennms,25.0.0-SNAPSHOT,-,2019-10-25
opennms,25.0.0-SNAPSHOT,-,2019-10-28
opennms,1.11.1-SNAPSHOT,+,2012-05-22
opennms,19.0.0-SNAPSHOT,-,2016-06-20
opennms,1.10.11-SNAPSHOT,-,2013-05-31
opennms,21.0.3-SNAPSHOT,-,2017-12-21
opennms,1.10.11,-,2013-07-15
opennms,20.0.0-SNAPSHOT,-,2016-11-23
opennms,1.9.90-SNAPSHOT,-,2011-07-14
opennms,1.9.90-SNAPSHOT,-,2011-07-15
opennms,18.0.0,-,2016-05-09
opennms,${project.version},-,2016-09-08
opennms,1.12.1-SNAPSHOT,-,2013-08-14
opennms,1.11.93,-,2013-07-16
opennms,1.11.90-SNAPSHOT,-,2013-02-26
opennms,1.13.0-SNAPSHOT,-,2013-05-28
opennms,1.11.1,+,2012-07-13
