library,version,sign,date
google-api-client,1.16.0-rc,-,2013-09-22
google-api-client,1.16.0-rc,+,2013-09-22
google-api-client,1.16.0-rc,+,2013-09-11
google-api-client,1.15.0-rc,-,2013-07-26
exception,0.0.1,-,2013-09-22
exception,0.0.1,+,2013-09-11
exception,0.0.1,-,2013-12-26
exception,0.0.1,+,2013-09-22
junit,4.11,+,2013-09-22
junit,4.10,-,2013-12-26
junit,4.10,-,2013-09-22
junit,4.11,-,2013-09-22
junit,4.11,+,2013-09-11
shiro-core,1.2.2,-,2013-09-22
shiro-core,1.2.1,-,2013-09-22
shiro-core,1.2.2,+,2013-09-22
shiro-core,1.2.2,+,2013-09-11
shiro-core,1.2.1,-,2013-07-26
reflection,0.0.1,-,2013-12-26
reflection,0.0.1,-,2013-09-22
reflection,0.0.1,+,2013-09-22
reflection,0.0.1,+,2013-09-11
google-http-client-jackson2,1.16.0-rc,+,2013-07-26
google-http-client-jackson2,1.16.0-rc,-,2013-09-22
google-http-client-jackson2,1.16.0-rc,+,2013-09-22
google-http-client-jackson2,1.16.0-rc,+,2013-09-11
i18n,0.0.1,-,2013-09-22
i18n,0.0.1,+,2013-09-11
i18n,0.0.1,-,2013-12-26
i18n,0.0.1,+,2013-09-22
security,0.0.1,+,2013-09-22
security,0.0.1,+,2013-09-11
security,0.0.1,-,2013-09-22
javaee-api,7.0,-,2013-09-22
javaee-api,7.0,+,2013-07-26
javaee-api,7.0,+,2013-09-22
javaee-api,7.0,+,2013-09-11
hibernate-validator,5.0.1.Final,+,2013-09-22
hibernate-validator,5.0.1.Final,+,2013-09-11
hibernate-validator,5.0.1.Final,-,2013-09-22
hibernate-validator,5.0.1.Final,+,2013-07-26
hibernate-validator,5.0.1.Final,-,2013-12-26
hibernate-validator,4.2.0.Final,-,2013-07-26
shiro-ehcache,1.2.2,-,2013-09-22
shiro-ehcache,1.2.2,+,2013-09-22
shiro-ehcache,1.2.2,+,2013-09-11
shiro-ehcache,1.2.1,-,2013-07-26
ejb,0.0.1,+,2013-09-22
ejb,0.0.1,+,2013-09-11
ejb,0.0.1,-,2013-09-22
restfb,1.6.11,+,2013-09-22
restfb,1.6.11,+,2013-09-11
restfb,1.6.11,-,2013-09-22
validation,0.0.1,-,2013-09-22
validation,0.0.1,+,2013-09-11
validation,0.0.1,+,2013-09-22
properties,0.0.1,+,2013-09-22
properties,0.0.1,+,2013-09-11
properties,0.0.1,-,2013-09-22
