library,version,sign,date
xercesImpl,2.6.2,+,2009-12-11
xercesImpl,2.6.2,-,2013-03-15
xercesImpl,2.6.2,-,2009-12-11
xercesImpl,2.6.2,+,2008-10-08
xercesImpl,2.6.2,-,2010-06-03
etudes-melete-hbm,2.8m1,-,2010-06-03
etudes-melete-hbm,2.7.2,+,2009-12-11
etudes-melete-hbm,2.5,-,2008-12-17
etudes-melete-hbm,2.6,+,2009-01-26
etudes-melete-hbm,2.7.0,-,2009-12-11
etudes-melete-hbm,2.6,-,2009-01-26
etudes-melete-hbm,2.7.2,-,2010-05-03
etudes-melete-hbm,2.6,-,2009-09-28
xmlParserAPIs,2.6.2,+,2009-12-11
xmlParserAPIs,2.6.2,-,2013-03-15
xmlParserAPIs,2.6.2,-,2009-12-11
xmlParserAPIs,2.6.2,+,2008-10-08
xmlParserAPIs,2.6.2,-,2010-06-03
servletapi,2.4,+,2009-09-28
servletapi,2.4,+,2008-12-17
servletapi,2.4,-,2013-03-15
servletapi,2.4,-,2010-06-03
servletapi,2.4,+,2009-12-11
etudes-util-api,1.0,+,2011-01-18
commons-logging,1.0.4,+,2010-06-03
commons-logging,1.0.4,-,2009-12-11
commons-logging,1.0.4,+,2009-04-07
commons-logging,1.0.4,-,2010-06-03
commons-logging,1.0.4,-,2013-03-15
commons-logging,1.0.4,+,2009-12-11
commons-logging,1.0.4,+,2008-12-17
etudes-melete-api,2.8m1,-,2010-06-03
etudes-melete-api,2.7.2,+,2009-12-11
etudes-melete-api,2.5,-,2008-12-17
etudes-melete-api,2.6,+,2009-01-26
etudes-melete-api,2.7.0,-,2009-12-11
etudes-melete-api,2.6,-,2009-01-26
etudes-melete-api,2.7.2,-,2010-05-03
etudes-melete-api,2.6,-,2009-09-28
dom4j,1.6.1,-,2013-03-15
dom4j,1.6.1,+,2008-10-08
dom4j,1.6.1,-,2009-12-11
dom4j,1.6.1,-,2010-06-03
dom4j,1.6.1,+,2009-12-11
