library,version,sign,date
junit,3.8.1,-,2007-07-13
junit,3.8.1,+,2011-04-02
junit,3.8.1,-,2011-04-29
junit,3.8.1,-,2011-04-02
junit,3.8.1,-,2007-06-12
sakai-metaobj-impl,2.6.0RC1-SNAPSHOT,+,2008-08-17
sakai-metaobj-impl,2.6.0RC1-SNAPSHOT,-,2008-08-28
sakai-metaobj-impl,2.9-SNAPSHOT,-,2011-04-02
sakai-metaobj-impl,2.8-SNAPSHOT,-,2009-12-10
sakai-metaobj-impl,2.10-SNAPSHOT,-,2013-06-17
sakai-metaobj-impl,2.9-SNAPSHOT,+,2011-04-02
sakai-metaobj-impl,2.7.0-SNAPSHOT,-,2008-12-05
sakai-metaobj-impl,2.6.0RC1-SNAPSHOT,-,2008-08-17
sakai-metaobj-impl,2.9-SNAPSHOT,-,2011-12-15
sakai-metaobj-impl,2.6.0RC1-SNAPSHOT,+,2008-08-07
quartz,1.5.2,+,2007-06-12
quartz,1.5.2,-,2011-04-02
quartz,1.5.2,-,2007-06-12
quartz,1.5.2,-,2011-04-29
quartz,1.5.2,+,2006-12-15
quartz,1.5.2,+,2011-04-02
quartz,1.5.2,-,2007-07-13
quartz,1.5.2,-,2007-05-14
jdom,1.0,-,2007-07-13
jdom,1.0,-,2007-05-14
jdom,1.0,-,2011-04-02
jdom,1.0,-,2011-04-29
jdom,1.0,-,2007-06-12
jdom,1.0,+,2011-04-02
jdom,1.0,+,2006-12-15
commons-logging,1.0.4,+,2006-12-15
commons-logging,1.0.4,-,2007-06-12
commons-logging,1.0.4,+,2011-04-02
commons-logging,1.0.4,-,2013-06-17
commons-logging,1.0.4,-,2011-04-29
commons-logging,1.0.4,-,2011-02-05
commons-logging,1.0.4,-,2007-05-14
commons-logging,1.0.4,-,2007-07-13
commons-logging,1.0.4,-,2011-04-02
commons-logging,1.0.4,-,2011-12-15
commons-logging,1.0.4,-,2006-12-15
servlet-api,2.4,-,2007-05-24
servlet-api,2.4,-,2006-12-15
servlet-api,2.4,+,2006-12-15
