library,version,sign,date
sauce_junit,[1.0.0,),-,2014-12-18
sauce_junit,1.0.9,-,2012-11-27
sauce_junit,LATEST,-,2012-07-07
sauce_junit,2.1.3,-,2014-12-18
sauce_junit,1.0.9,+,2012-08-14
sauce_junit,[1.0.0,),-,2012-12-06
sauce_junit,1.0.13,-,2013-12-10
sauce_junit,[1.0.0,),+,2012-12-06
sauce_junit,0.0.1-SNAPSHOT,-,2012-06-25
sauce_junit,LATEST,+,2012-06-25
junit,4.10,-,2012-12-06
junit,4.10,+,2012-06-25
junit,4.11,-,2016-01-05
junit,4.10,+,2012-12-06
selenium-java,LATEST,-,2012-12-06
selenium-java,LATEST,+,2012-12-06
selenium-java,LATEST,-,2012-07-06
selenium-java,2.38.0,+,2015-03-03
selenium-java,2.29.0,-,2013-12-10
selenium-java,2.43.0,-,2016-01-05
selenium-java,LATEST,-,2013-12-10
selenium-java,2.24.1,-,2012-12-06
selenium-java,2.24.1,-,2016-01-05
selenium-java,LATEST,+,2012-06-25
selenium-java,2.38.0,-,2016-01-05
