library,version,sign,date
org.savara.protocol,2.1.0-SNAPSHOT,-,2012-05-24
org.savara.protocol,2.0.0-SNAPSHOT,-,2012-02-21
org.savara.protocol,2.0.0-SNAPSHOT,-,2012-02-10
org.savara.protocol,2.0.0.CR1,-,2012-02-08
org.savara.protocol,2.1.0-SNAPSHOT,-,2012-03-09
org.savara.protocol,2.0.0.Final,-,2012-03-09
org.savara.protocol,2.1.0.20120522-M1,-,2012-05-22
org.savara.protocol,2.0.0-SNAPSHOT,-,2012-02-01
org.savara.wsdl,2.1.0-SNAPSHOT,-,2012-05-24
org.savara.wsdl,2.0.0-SNAPSHOT,-,2012-02-21
org.savara.wsdl,2.0.0-SNAPSHOT,-,2012-02-10
org.savara.wsdl,2.0.0.CR1,-,2012-02-08
org.savara.wsdl,2.1.0-SNAPSHOT,-,2012-03-09
org.savara.wsdl,2.0.0.Final,-,2012-03-09
org.savara.wsdl,2.1.0.20120522-M1,-,2012-05-22
org.savara.wsdl,2.0.0-SNAPSHOT,-,2012-02-01
org.savara.bpmn2,2.1.0-SNAPSHOT,-,2012-05-24
org.savara.bpmn2,2.0.0-SNAPSHOT,-,2012-02-21
org.savara.bpmn2,2.0.0-SNAPSHOT,-,2012-02-10
org.savara.bpmn2,2.0.0.CR1,-,2012-02-08
org.savara.bpmn2,2.1.0-SNAPSHOT,-,2012-03-09
org.savara.bpmn2,2.0.0.Final,-,2012-03-09
org.savara.bpmn2,2.1.0.20120522-M1,-,2012-05-22
org.savara.bpmn2,2.0.0-SNAPSHOT,-,2012-02-01
org.savara.common,2.1.0-SNAPSHOT,-,2012-05-24
org.savara.common,2.0.0-SNAPSHOT,-,2012-02-21
org.savara.common,2.0.0-SNAPSHOT,-,2012-02-10
org.savara.common,2.0.0.CR1,-,2012-02-08
org.savara.common,2.1.0-SNAPSHOT,-,2012-03-09
org.savara.common,2.0.0.Final,-,2012-03-09
org.savara.common,2.1.0.20120522-M1,-,2012-05-22
org.savara.common,2.0.0-SNAPSHOT,-,2012-02-01
org.savara.switchyard.java,2.1.0-SNAPSHOT,-,2012-05-24
org.savara.switchyard.java,2.0.0-SNAPSHOT,+,2012-03-09
org.savara.switchyard.java,2.0.0-SNAPSHOT,-,2012-02-21
org.savara.switchyard.java,2.1.0-SNAPSHOT,-,2012-03-09
org.savara.switchyard.java,2.1.0.20120522-M1,-,2012-05-22
org.savara.bpel,2.1.0-SNAPSHOT,-,2012-05-24
org.savara.bpel,2.0.0-SNAPSHOT,-,2012-02-21
org.savara.bpel,2.0.0-SNAPSHOT,-,2012-02-10
org.savara.bpel,2.0.0.CR1,-,2012-02-08
org.savara.bpel,2.1.0-SNAPSHOT,-,2012-03-09
org.savara.bpel,2.0.0.Final,-,2012-03-09
org.savara.bpel,2.1.0.20120522-M1,-,2012-05-22
org.savara.bpel,2.0.0-SNAPSHOT,-,2012-02-01
org.savara.contract,2.1.0-SNAPSHOT,-,2012-05-24
org.savara.contract,2.0.0-SNAPSHOT,-,2012-02-21
org.savara.contract,2.0.0-SNAPSHOT,-,2012-02-10
org.savara.contract,2.0.0.CR1,-,2012-02-08
org.savara.contract,2.1.0-SNAPSHOT,-,2012-03-09
org.savara.contract,2.0.0.Final,-,2012-03-09
org.savara.contract,2.1.0.20120522-M1,-,2012-05-22
org.savara.contract,2.0.0-SNAPSHOT,-,2012-02-01
