library,version,sign,date
mockito-all,1.8.4,+,2010-12-21
mockito-all,1.8.4,-,2011-01-27
mockito-all,1.8.4,-,2010-12-21
mockito-all,1.8.4,+,2010-10-16
junit,4.6,-,2010-05-27
seam-servlet-api,3.0.0.Alpha2,-,2010-12-07
seam-servlet-api,3.0.0-SNAPSHOT,-,2010-12-07
seam-servlet-api,3.0.0-SNAPSHOT,-,2010-12-01
seam-servlet-api,3.0.0.Alpha1,-,2010-12-01
seam-servlet-api,3.0.0-SNAPSHOT,+,2010-12-01
seam-solder-tooling,3.0.0-SNAPSHOT,-,2011-03-19
seam-solder-tooling,3.0.0.CR2,-,2011-03-19
seam-solder-tooling,3.0.0-SNAPSHOT,+,2011-03-14
seam-solder-tooling,3.0.0-SNAPSHOT,-,2011-03-15
seam-solder,3.0.0-SNAPSHOT,-,2011-03-19
seam-solder,3.0.0-SNAPSHOT,+,2011-03-14
seam-solder,3.0.0.CR2,-,2011-03-16
seam-solder,3.0.0-SNAPSHOT,-,2011-03-15
seam-solder,3.0.0-SNAPSHOT,+,2011-03-19
seam-catch-api,3.0.0.CR1,+,2011-03-16
seam-catch-api,3.0.0.Alpha1,+,2010-12-01
seam-catch-api,3.0.0.Alpha1,-,2010-12-07
seam-catch-api,3.0.0.Alpha1,+,2010-11-30
seam-catch-api,3.0.0.CR1,-,2011-03-19
seam-catch-api,3.0.0.Alpha2,-,2010-12-21
seam-catch-api,3.0.0.Alpha1,-,2010-12-01
