library,version,sign,date
junit,4.11,-,2014-10-21
junit,4.12,+,2014-10-21
slf4j-log4j12,1.6.1,+,2013-11-19
slf4j-log4j12,1.6.1,-,2013-11-19
elasticsearch,1.0.2,-,2014-04-20
elasticsearch,5.3.2,+,2017-05-04
elasticsearch,5.3.0,+,2017-03-12
elasticsearch,1.0.0,+,2014-02-22
elasticsearch,2.0.0-rc1,+,2015-08-16
elasticsearch,1.7.1,+,2015-05-17
elasticsearch,1.0.2,+,2014-03-08
elasticsearch,1.4.2,+,2014-12-14
elasticsearch,1.7.1,-,2015-10-21
elasticsearch,1.5.2,+,2015-03-31
elasticsearch,1.0.0,-,2014-03-08
elasticsearch,2.4.1,-,2017-03-12
elasticsearch,2.0.0,-,2015-11-15
elasticsearch,1.3.4,-,2014-12-14
elasticsearch,5.3.2,-,2017-10-10
elasticsearch,1.4.2,-,2015-03-31
elasticsearch,1.5.2,-,2015-05-17
elasticsearch,2.0.0,+,2015-10-21
elasticsearch,2.1.0,+,2015-11-15
elasticsearch,1.2.2,-,2014-07-20
elasticsearch,0.90.5,-,2014-02-22
elasticsearch,2.1.0,-,2016-12-07
elasticsearch,5.3.0,-,2017-05-04
elasticsearch,6.3.1,+,2017-10-10
elasticsearch,2.0.0-rc1,-,2015-10-18
elasticsearch,1.3.4,+,2014-07-20
elasticsearch,1.2.2,+,2014-04-20
elasticsearch,2.4.1,+,2016-12-07
elasticsearch,1.7.1,+,2015-10-18
elasticsearch,1.7.1,-,2015-08-16
jsonassert,1.5.0,+,2017-05-04
jsonassert,1.4.0,+,2016-06-12
jsonassert,1.4.0,-,2017-05-04
gson,2.8.0,+,2017-05-04
gson,2.2.4,+,2013-11-19
gson,2.2.4,-,2014-07-20
gson,2.3,+,2014-07-20
gson,2.2.3,-,2013-11-19
gson,2.6.2,-,2017-05-04
gson,2.4,-,2015-11-15
gson,2.3.1,+,2014-10-21
gson,2.3.1,-,2015-11-15
gson,2.4,+,2015-11-15
gson,2.3,-,2014-10-21
gson,2.6.2,+,2015-11-15
commons-io,2.4,+,2014-10-21
commons-io,2.4,-,2016-03-27
commons-io,2.5,+,2016-03-27
commons-io,2.4,-,2014-10-21
guava,16.0,-,2014-03-08
guava,17.0,+,2014-04-20
guava,14.0.1,-,2013-11-19
guava,21.0,+,2017-05-04
guava,18.0,-,2015-11-15
guava,16.0.1,+,2014-03-08
guava,17.0,-,2014-07-20
guava,19.0,+,2015-11-15
guava,18.0,+,2014-07-20
guava,16.0.1,-,2014-04-20
guava,19.0,-,2017-05-04
guava,16.0,+,2013-11-19
