library,version,sign,date
xercesImpl,2.8.0,-,2012-11-13
xercesImpl,2.8.0,+,2012-10-07
xercesImpl,2.8.0,-,2012-10-07
xercesImpl,2.8.0,+,2012-11-13
junit,4.8.2,+,2012-10-07
junit,4.8.2,-,2013-06-15
junit,4.8.2,-,2012-10-07
common-msg,1.0.0,+,2012-05-14
common-msg,1.0.2,+,2012-11-13
common-msg,1.0.2,-,2012-11-13
common-msg,1.0.0,-,2012-11-13
opencsv,2.0,+,2011-10-27
opencsv,2.0,+,2012-10-07
opencsv,2.0,-,2012-10-07
annotations,7.0.3,-,2012-11-13
annotations,7.0.3,+,2012-10-07
annotations,7.0.3,-,2012-10-07
annotations,7.0.3,-,2013-03-02
annotations,7.0.3,+,2012-11-13
common-core,1.0.0,-,2012-10-07
common-core,1.0.0,+,2012-05-14
common-core,1.0.2,+,2012-11-13
common-core,1.0.2,-,2012-11-13
common-core,1.0.0,-,2012-11-13
common-core,1.0.0,+,2012-10-07
