library,version,sign,date
commons-codec,1.9,-,2015-04-16
commons-codec,1.9,-,2014-08-20
commons-codec,1.10,+,2015-04-23
commons-codec,1.9,+,2014-04-11
commons-codec,1.10,-,2015-04-23
commons-codec,1.10,+,2015-04-16
commons-codec,1.9,+,2014-08-20
libsvm,3.18.1,+,2015-04-23
libsvm,3.18.1,-,2015-04-23
libsvm,3.18.1,+,2014-08-20
libsvm,3.18.1,-,2014-08-20
libsvm,3.18.1,+,2014-05-29
commons-lang3,3.4,-,2015-04-23
commons-lang3,3.1,+,2014-04-11
commons-lang3,3.1,+,2013-11-06
commons-lang3,3.4,+,2015-04-16
commons-lang3,3.3.2,+,2014-08-20
commons-lang3,3.4,+,2015-04-23
commons-lang3,3.1,-,2014-08-20
commons-lang3,3.1,-,2014-04-11
commons-lang3,3.3.2,-,2015-04-16
