library,version,sign,date
jigsaw-example-rectangle,1.8.0-SNAPSHOT,-,2018-09-27
jigsaw-example-rectangle,1.0.0-SNAPSHOT,-,2018-10-19
assertj-core,3.11.1,+,2018-09-27
javafx-fxml,11,-,2018-10-19
javafx-fxml,11,+,2018-10-09
mvvmfx,1.9.0-SNAPSHOT,+,2018-10-19
mvvmfx,1.8.0-SNAPSHOT,-,2018-10-19
mvvmfx,1.8.0-SNAPSHOT,-,2018-10-09
mvvmfx,1.7.0,+,2018-09-27
mvvmfx,1.8.0-SNAPSHOT,+,2018-10-09
mvvmfx,1.8.0-SNAPSHOT,+,2018-09-27
mvvmfx,1.7.0,-,2018-10-19
mvvmfx,1.7.1-SNAPSHOT,-,2018-10-19
mvvmfx,1.7.0,-,2018-10-09
mvvmfx,1.7.0,-,2018-09-27
mvvmfx,${mvvmfx.version},+,2018-10-19
javafx-base,11,-,2018-10-19
javafx-base,11,+,2018-10-09
javafx-graphics,11,-,2018-10-19
javafx-graphics,11,+,2018-10-09
javafx-controls,11,-,2018-10-19
javafx-controls,11,+,2018-10-09
jigsaw-example-circle,1.8.0-SNAPSHOT,-,2018-09-27
jigsaw-example-circle,1.0.0-SNAPSHOT,-,2018-10-19
