library,version,sign,date
maven-core,3.1.0,+,2013-08-21
maven-core,3.1.0,-,2013-09-28
hamcrest-core,1.3,+,2013-08-28
junit,4.11,+,2013-08-21
hamcrest-library,1.3,-,2014-09-04
hamcrest-library,1.3,+,2013-10-02
hamcrest-library,1.3,+,2014-09-04
hamcrest-library,1.3,+,2013-09-05
file-matchers,0.0.1,-,2013-08-25
file-matchers,0.0.1,+,2013-08-21
file-matchers,0.0.1,-,2014-09-06
file-matchers,0.0.1,+,2013-08-26
slf4j-simple,1.7.5,+,2013-08-21
maven-model-builder,3.1.0,-,2013-09-28
maven-embedder,3.1.0,+,2013-08-21
maven-embedder,3.1.0,-,2013-09-28
mockito-core,1.9.5,+,2013-08-26
mockito-core,1.9.5,+,2013-08-21
maven-common-artifact-filters,1.4,+,2013-09-28
