library,version,sign,date
junit,4.8.1,+,2014-08-29
swingx-all,1.6.4,-,2015-01-12
swingx-all,1.6.4,+,2015-01-19
swingx-all,1.6.4,+,2014-10-13
simjr-shapesystem,0.0.4-SNAPSHOT,-,2015-06-15
simjr-shapesystem,0.0.3-SNAPSHOT,-,2015-05-19
simjr-shapesystem,0.0.6-SNAPSHOT,-,2016-01-29
simjr-shapesystem,0.0.2,-,2015-05-19
simjr-shapesystem,3.0.2,-,2017-02-16
simjr-shapesystem,0.0.4,-,2015-06-15
simjr-shapesystem,3.0-SNAPSHOT,-,2016-01-30
simjr-shapesystem,0.0.5,-,2015-06-15
simjr-shapesystem,3.0.2,-,2016-12-01
simjr-shapesystem,3.0.1-SNAPSHOT,-,2016-11-21
simjr-shapesystem,0.0.2-SNAPSHOT,-,2015-05-19
simjr-shapesystem,0.0.6-SNAPSHOT,-,2016-01-30
simjr-shapesystem,3.0.1-SNAPSHOT,-,2017-01-19
simjr-shapesystem,3.0.3,-,2019-01-25
simjr-shapesystem,0.0.5-SNAPSHOT,-,2015-06-15
simjr-shapesystem,3.0,-,2016-01-30
simjr-math,0.0.4-SNAPSHOT,-,2015-06-15
simjr-math,0.0.3-SNAPSHOT,-,2015-05-19
simjr-math,0.0.6-SNAPSHOT,-,2016-01-29
simjr-math,0.0.2,-,2015-05-19
simjr-math,0.0.4,-,2015-06-15
simjr-math,3.0-SNAPSHOT,-,2016-01-30
simjr-math,0.0.5,-,2015-06-15
simjr-math,3.0.2,-,2016-12-01
simjr-math,3.0.1-SNAPSHOT,-,2016-11-21
simjr-math,0.0.2-SNAPSHOT,-,2015-05-19
simjr-math,0.0.6-SNAPSHOT,-,2016-01-30
simjr-math,3.0.1-SNAPSHOT,-,2017-01-19
simjr-math,3.0.2,-,2017-02-24
simjr-math,3.0.3,-,2019-01-25
simjr-math,0.0.5-SNAPSHOT,-,2015-06-15
simjr-math,3.0,-,2016-01-30
