library,version,sign,date
junit,4.11,+,2013-05-31
slf4j-log4j12,1.6.1,+,2013-03-22
async-http-client,1.6.2,-,2013-05-31
elasticsearch,1.0.1,+,2014-03-01
elasticsearch,0.90.0,+,2013-04-29
elasticsearch,0.90.7,+,2013-09-19
elasticsearch,0.20.2,-,2013-01-20
elasticsearch,0.19.12,+,2012-11-23
elasticsearch,1.2.0,+,2014-06-01
elasticsearch,0.20.5,+,2013-01-20
elasticsearch,0.90.0.RC1,-,2013-04-29
elasticsearch,0.90.3,-,2013-08-13
elasticsearch,0.90.3,+,2013-05-31
elasticsearch,1.2.4,-,2014-08-28
elasticsearch,1.0.3,+,2014-03-01
elasticsearch,0.90.12,+,2014-03-01
elasticsearch,0.90.9,+,2013-12-10
elasticsearch,0.90.0.Beta1,+,2013-03-01
elasticsearch,1.0.3,-,2014-06-01
elasticsearch,0.90.0,-,2013-05-31
elasticsearch,0.19.11,-,2012-11-23
elasticsearch,1.1.2,+,2014-06-01
elasticsearch,0.20.2,+,2012-12-08
elasticsearch,1.3.2,+,2014-08-28
elasticsearch,0.20.5,-,2013-03-01
elasticsearch,0.19.11,+,2012-10-06
elasticsearch,1.1.2,-,2014-06-01
elasticsearch,0.90.5,-,2013-09-19
elasticsearch,1.0.1,-,2014-03-01
elasticsearch,0.90.0.Beta1,-,2013-03-20
elasticsearch,1.2.4,+,2014-06-02
elasticsearch,0.90.5,+,2013-08-13
elasticsearch,0.90.1,-,2013-05-31
elasticsearch,0.19.12,-,2012-12-08
elasticsearch,0.90.0.RC1,+,2013-03-20
elasticsearch,1.2.0,-,2014-06-02
elasticsearch,0.90.7,-,2013-12-10
elasticsearch,0.90.9,-,2014-03-01
elasticsearch,0.90.12,-,2014-03-01
elasticsearch,0.19.10,-,2012-10-06
elasticsearch,0.90.1,+,2013-05-31
jackson-mapper-asl,1.9.12,+,2013-03-22
commons-io,2.0.1,-,2013-05-31
commons-lang,2.6,+,2013-05-31
log4j,1.2.16,-,2013-05-31
