library,version,sign,date
drools-compiler,4.0.7,+,2011-08-08
jboss-seam-ui,2.0.2.SP1,+,2011-08-08
jboss-seam-debug,2.0.2.SP1,+,2011-08-08
jboss-seam-remoting,2.0.2.SP1,+,2011-08-08
jbpm-jpdl,3.2.3,+,2011-08-08
jersey-client,1.9,+,2011-09-16
jersey-client,1.3,-,2011-08-08
jersey-client,1.9,+,2011-09-29
jersey-client,1.9,-,2011-09-29
opensaml,1.1,-,2011-09-29
opensaml,1.1,+,2011-09-16
opensaml,1.1,+,2011-09-29
jsf-api,1.2_04-p02,+,2011-08-08
jsf-api,1.2_04-p02,-,2011-08-08
hibernate-validator,3.0.0.ga,+,2011-08-08
jsf-impl,1.2_04-p02,+,2011-08-08
jboss-seam-ioc,2.0.2.SP1,+,2011-08-08
javax.ejb,3.0.1,-,2011-08-08
javax.ejb,3.0.1,+,2011-08-08
jboss-jaxws,2.0.1.SP2,+,2011-09-29
jboss-jaxws,2.0.1.SP2,-,2011-08-23
jboss-jaxws,2.0.1.SP2,+,2011-08-16
jboss-jaxws,2.0.1.SP2,+,2011-08-23
jboss-jaxws,2.0.1.SP2,-,2011-09-29
jsf-facelets,1.1.14,+,2011-08-08
guiClient,0.0.10-SNAPSHOT,-,2011-10-31
guiClient,0.0.13,-,2012-01-24
guiClient,0.0.9-SNAPSHOT,+,2011-08-23
guiClient,0.0.11,-,2011-11-02
guiClient,1.4,-,2015-06-18
guiClient,0.0.15,-,2013-07-10
guiClient,0.0.12,-,2011-12-13
guiClient,1.1,-,2014-09-18
guiClient,0.0.11-SNAPSHOT,-,2011-11-02
guiClient,0.0.9-SNAPSHOT,-,2011-09-19
guiClient,0.0.9-SNAPSHOT,-,2011-09-06
log4j,1.2.16,-,2011-09-29
log4j,1.2.16,-,2011-08-08
log4j,1.2.16,+,2011-09-29
log4j,1.2.16,+,2011-09-16
cas-client-core,3.1.11,-,2011-09-29
cas-client-core,3.1.11,+,2011-09-09
cas-client-core,3.1.11,+,2011-09-29
