library,version,sign,date
jstl,1.2,+,2015-10-31
jstl,1.2,-,2015-12-29
jstl,1.2,+,2015-11-10
jstl,1.2,-,2016-12-16
jstl,1.2,+,2015-12-29
jstl,1.2,+,2016-09-15
jstl,1.2,+,2014-08-12
javax.servlet-api,3.1.0,+,2015-07-08
javax.servlet-api,3.1.0,+,2016-01-01
javax.servlet-api,3.1.0,-,2016-05-12
javax.servlet-api,3.1.0,-,2016-01-21
javax.servlet-api,3.1.0,+,2016-01-21
stormpath-servlet-plugin,1.3.0,-,2017-01-12
stormpath-servlet-plugin,2.0.3-okta-SNAPSHOT,-,2017-09-07
stormpath-servlet-plugin,2.0.3-okta,-,2017-09-28
stormpath-servlet-plugin,2.0.0-okta-rc3,-,2017-06-16
stormpath-servlet-plugin,1.4.0,-,2017-01-18
stormpath-servlet-plugin,1.4.0-SNAPSHOT,-,2017-01-12
stormpath-servlet-plugin,\ |version|\ ,-,2016-09-15
stormpath-servlet-plugin,2.0.2-okta-SNAPSHOT,-,2017-08-17
stormpath-servlet-plugin,2.0.0-okta-SNAPSHOT,-,2017-05-30
stormpath-servlet-plugin,2.0.4-okta,-,2017-09-28
stormpath-servlet-plugin,2.0.1-okta,-,2017-08-17
stormpath-servlet-plugin,2.0.4-okta-SNAPSHOT,-,2017-09-28
stormpath-servlet-plugin,2.0.1-okta-SNAPSHOT,-,2017-07-18
stormpath-servlet-plugin,2.0.0-okta-alpha1,-,2017-04-03
stormpath-servlet-plugin,2.0.0-okta-SNAPSHOT,-,2017-04-29
stormpath-servlet-plugin,1.5.0,-,2017-01-30
stormpath-servlet-plugin,1.3.0,+,2016-12-16
stormpath-servlet-plugin,2.0.2-okta,-,2017-09-07
stormpath-servlet-plugin,2.0.0-okta-beta2-SNAPSHOT,-,2017-04-19
stormpath-servlet-plugin,\ |version|\ ,+,2014-11-19
stormpath-servlet-plugin,2.0.0-okta-alpha-SNAPSHOT,-,2017-03-28
stormpath-servlet-plugin,1.6.0-SNAPSHOT,-,2017-01-30
stormpath-servlet-plugin,\ |version|\ ,+,2016-09-15
stormpath-servlet-plugin,2.0.0-okta,-,2017-07-18
stormpath-servlet-plugin,2.0.0-okta-rc1,-,2017-04-29
stormpath-servlet-plugin,2.0.0-okta-rc2,-,2017-05-30
stormpath-servlet-plugin,\ |version|\ ,-,2016-11-02
stormpath-servlet-plugin,2.0.0-okta-beta1,-,2017-04-19
stormpath-servlet-plugin,2.0.0-okta-SNAPSHOT,-,2017-06-16
stormpath-servlet-plugin,1.5.0-SNAPSHOT,-,2017-01-27
stormpath-servlet-plugin,2.0.0-okta-alpha2-SNAPSHOT,-,2017-04-03
testng,6.8,+,2015-10-31
testng,6.8,+,2015-12-29
testng,6.8,-,2015-12-29
testng,6.8,+,2016-03-07
testng,6.9.10,+,2016-05-03
testng,6.8,+,2016-03-23
testng,6.8,-,2016-03-07
testng,6.8,-,2016-05-03
