library,version,sign,date
junit,4.8.2,-,2011-08-16
junit,4.8.2,+,2011-08-14
junit,4.8.2,-,2010-12-05
junit,4.8.2,+,2011-08-16
junit,4.8.2,+,2011-08-18
junit,4.8.2,+,2010-12-21
junit,4.8.2,-,2011-08-14
jackrabbit-webdav,1.5.2,-,2011-08-16
jackrabbit-webdav,1.5.2,+,2010-12-21
jackrabbit-webdav,1.5.2,-,2011-08-14
jackrabbit-webdav,1.5.2,+,2011-08-18
jackrabbit-webdav,1.5.2,-,2010-12-05
jackrabbit-webdav,1.5.2,+,2011-08-16
jackrabbit-webdav,1.5.2,+,2011-08-14
commons-httpclient,3.1,+,2011-08-16
commons-httpclient,3.1,+,2011-08-14
commons-httpclient,3.1,-,2010-12-05
commons-httpclient,3.1,+,2011-08-18
commons-httpclient,3.1,-,2011-08-14
commons-httpclient,3.1,+,2010-12-21
commons-httpclient,3.1,-,2011-08-16
ant,1.6.2,-,2011-08-14
ant,1.6.2,+,2010-12-21
ant,1.6.2,-,2011-08-16
ant,1.6.2,+,2011-08-16
ant,1.6.2,-,2010-12-05
ant,1.6.2,+,2011-08-18
ant,1.6.2,+,2011-08-14
commons-net,2.2,+,2011-08-18
commons-net,2.2,+,2011-08-16
commons-net,2.2,+,2011-08-14
commons-net,2.0,-,2010-12-21
commons-net,2.2,-,2011-08-16
commons-net,2.2,-,2011-08-14
commons-net,2.0,-,2010-12-05
commons-net,2.2,+,2010-12-21
commons-collections,3.1,+,2011-08-16
commons-collections,3.1,+,2011-08-14
commons-collections,3.1,-,2010-12-05
commons-collections,3.1,+,2011-08-18
commons-collections,3.1,-,2011-08-14
commons-collections,3.1,+,2010-12-21
commons-collections,3.1,-,2011-08-16
commons-logging,1.1.1,+,2010-12-21
commons-logging,1.1.1,-,2011-08-14
commons-logging,1.1.1,-,2011-08-16
commons-logging,1.1.1,+,2011-08-18
commons-logging,1.1.1,-,2010-12-05
commons-logging,1.1.1,+,2011-08-14
commons-logging,1.1.1,+,2011-08-16
commons-compress,1.1,+,2011-08-18
commons-compress,1.1,+,2011-08-16
commons-compress,1.1,+,2011-08-14
commons-compress,1.1,+,2010-12-21
commons-compress,1.1,-,2011-08-16
commons-compress,1.1,-,2011-08-14
commons-compress,1.1,-,2010-12-05
jsch,0.1.42,-,2011-08-16
jsch,0.1.42,+,2010-12-21
jsch,0.1.42,+,2011-08-18
jsch,0.1.42,+,2011-08-16
jsch,0.1.42,-,2011-08-14
jsch,0.1.42,-,2010-12-05
jsch,0.1.42,+,2011-08-14
