library,version,sign,date
smartgwt-skins,4.1p_lgpl,+,2014-04-30
smartgwt-skins,2.5,-,2014-04-29
smartgwt-skins,2.5,+,2014-04-16
crux-runtime,5.2.0-SNAPSHOT,+,2014-04-16
crux-runtime,5.1.0-SNAPSHOT,-,2014-04-16
crux-runtime,5.0.4,-,2014-04-16
crux-runtime,5.2.0-SNAPSHOT,-,2014-04-16
crux-runtime,5.1.0,-,2014-04-30
crux-runtime,5.1.0-SNAPSHOT,+,2014-04-30
crux-runtime,5.1.1,+,2014-04-30
crux-runtime,5.2.0-SNAPSHOT,-,2014-04-30
crux-runtime,5.0.4,+,2014-04-16
crux-runtime,5.2-SNAPSHOT,+,2014-04-30
crux-dev,5.2.0-SNAPSHOT,-,2014-04-16
crux-dev,5.1.1,+,2014-04-30
crux-dev,5.2.0-SNAPSHOT,-,2014-04-30
crux-dev,5.0.4,+,2014-04-16
crux-dev,5.2.0-SNAPSHOT,+,2014-04-16
crux-dev,#version,-,2014-04-16
crux-dev,5.1.0-SNAPSHOT,-,2014-04-16
crux-dev,5.0.4,-,2014-04-16
crux-dev,5.1.0,-,2014-04-30
crux-dev,#version,+,2014-04-16
crux-dev,5.1.0,+,2014-04-30
smartgwt,4.1,-,2014-04-16
smartgwt,2.5-patch,-,2014-04-29
smartgwt,4.1,-,2014-04-29
smartgwt,4.1p_lgpl,+,2014-04-30
smartgwt,2.5-patch,+,2014-04-16
