library,version,sign,date
junit,4.11,-,2013-08-09
junit,4.11,+,2013-08-09
junit,4.8.1,-,2013-01-06
junit,4.11,+,2013-06-15
junit,4.8.1,-,2013-06-15
junit,4.8.1,+,2013-01-06
junit,4.8.1,+,2012-07-12
spigot-api,1.8-R0.1-SNAPSHOT,+,2019-08-16
powermock-module-junit4,1.4.9,+,2013-06-15
powermock-module-junit4,1.4.9,-,2013-08-09
powermock-module-junit4,1.4.9,+,2013-08-09
gson,2.2.2,+,2013-12-02
gson,2.2.2,-,2013-10-27
gson,2.2.2,+,2013-10-07
powermock-api-mockito,1.4.9,+,2013-06-15
powermock-api-mockito,1.4.9,-,2013-08-09
powermock-api-mockito,1.4.9,+,2013-08-09
