library,version,sign,date
maven-plugin-api,2.2.1,-,2013-05-13
maven-plugin-api,2.2.1,+,2013-05-12
maven-plugin-api,2.2.1,-,2013-05-12
maven-plugin-annotations,3.2,+,2013-12-19
maven-plugin-annotations,3.2,-,2013-12-19
maven-plugin-annotations,3.2,-,2013-07-02
maven-plugin-annotations,3.2,+,2013-05-13
maven-plugin-annotations,3.5,-,2018-12-28
maven-plugin-annotations,3.2,-,2016-09-11
maven-plugin-annotations,3.2,+,2015-07-04
maven-plugin-annotations,3.2,-,2015-07-04
maven-plugin-testing-harness,1.1,-,2013-05-13
maven-plugin-testing-harness,1.1,-,2013-05-12
maven-plugin-testing-harness,1.1,+,2013-05-12
maven-plugin-testing-harness,2.1,+,2015-07-04
maven-plugin-testing-harness,2.1,-,2013-12-19
maven-plugin-testing-harness,2.1,+,2013-05-13
maven-plugin-testing-harness,2.1,-,2016-09-11
maven-plugin-testing-harness,2.1,+,2013-12-19
maven-plugin-testing-harness,2.1,-,2015-07-04
jvmbasicc,1.1,-,2013-05-12
jvmbasicc,2.2-SNAPSHOT,-,2016-09-10
jvmbasicc,1.4-SNAPSHOT,-,2013-05-12
jvmbasicc,1.1-SNAPSHOT,-,2013-05-12
jvmbasicc,2.0-SNAPSHOT,-,2013-12-19
jvmbasicc,2.2-SNAPSHOT,+,2016-09-10
jvmbasicc,1.4,-,2013-05-12
jvmbasicc,1.5,-,2013-05-12
jvmbasicc,1.6-SNAPSHOT,-,2013-05-12
jvmbasicc,1.1,+,2013-05-12
jvmbasicc,2.0-SNAPSHOT,+,2013-12-19
jvmbasicc,2.0-SNAPSHOT,-,2014-02-22
jvmbasicc,1.6,-,2013-05-13
jvmbasicc,1.2-SNAPSHOT,-,2013-05-12
jvmbasicc,1.2,-,2013-05-12
jvmbasicc,1.3-SNAPSHOT,-,2013-05-12
jvmbasicc,2.1-SNAPSHOT,+,2015-07-04
jvmbasicc,1.6-SNAPSHOT,-,2013-07-02
jvmbasicc,2.1-SNAPSHOT,-,2016-09-10
jvmbasicc,2.1-SNAPSHOT,-,2015-07-04
jvmbasicc,1.3,-,2013-05-12
jvmbasicc,1.0,-,2012-12-29
jvmbasicc,1.5-SNAPSHOT,-,2013-05-12
