library,version,sign,date
jukito,1.1.2,+,2013-04-19
jukito,1.1,-,2012-11-12
jukito,1.2,-,2013-12-13
jukito,1.4,-,2014-08-01
jukito,1.2,+,2013-07-01
jukito,1.4.1,+,2014-08-01
jukito,1.1,-,2013-04-19
jukito,1.1.2,-,2013-07-01
jukito,1.1,+,2012-11-12
jukito,1.3,-,2014-03-31
jukito,1.1.2,-,2013-04-26
jukito,1.3,+,2013-12-13
jukito,1.1.2,+,2013-04-26
jukito,1.4,+,2014-03-31
junit,4.11,-,2014-11-24
junit,4.11,+,2012-11-12
junit,4.11,+,2013-07-01
junit,4.11,-,2013-07-01
junit,4.10,-,2012-11-12
junit,4.12,+,2014-11-24
validation-api,1.0.0.GA,-,2012-11-12
jsr305,2.0.3,-,2014-07-18
jsr305,2.0.1,-,2013-12-13
jsr305,2.0.1,-,2013-04-26
jsr305,3.0.1,+,2016-02-15
jsr305,2.0.3,+,2013-12-13
jsr305,2.0.1,+,2013-04-26
jsr305,3.0.0,-,2016-02-15
jsr305,3.0.0,+,2014-07-18
gwtbootstrap3,1.0-SNAPSHOT,+,2015-02-23
gwt-charts,0.9.9,-,2014-09-29
gwt-charts,0.9.11-SNAPSHOT,+,2016-02-16
gwt-charts,0.9.9,+,2013-04-26
gwt-charts,0.9.10,-,2016-02-16
gwt-charts,0.9.10,+,2014-09-29
gwtmockito,1.1.6,+,2016-03-04
gin,2.1.2,+,2014-03-31
gin,2.0.0,+,2013-04-26
gin,2.0.0,-,2013-10-15
gin,2.0.0,-,2013-04-26
gin,2.1.0,-,2014-03-31
gin,2.1.0,+,2013-10-15
gin,2.0.0,+,2012-11-12
gin,2.0.0,-,2012-11-12
gwtchosen,1.1.0,-,2013-04-26
gwtchosen,1.2.0,-,2016-03-02
gwtchosen,1.2.0,+,2013-07-26
gwtchosen,1.1.0,+,2012-11-12
gwtchosen,3.1-SNAPSHOT,+,2016-03-02
gwtchosen,1.1.0,-,2013-07-26
gwtchosen,1.1.0,-,2012-11-12
gwtchosen,1.1.0,+,2013-04-26
hibernate-validator,4.2.0.Final,-,2014-07-18
hibernate-validator,4.2.0.Final,+,2012-11-12
hibernate-validator,4.2.0.Final,+,2013-07-01
hibernate-validator,4.2.0.Final,-,2012-11-12
hibernate-validator,5.1.1.Final,+,2014-07-18
hibernate-validator,5.1.2.Final,+,2014-07-24
hibernate-validator,5.1.1.Final,-,2014-07-24
hibernate-validator,4.1.0.Final,-,2013-04-26
hibernate-validator,4.1.0.Final,+,2013-04-26
hibernate-validator,4.2.0.Final,-,2013-07-01
gwt-user,2.7.0-patched,+,2015-04-15
gwt-user,2.7.0-patched,-,2016-01-14
universal-analytics,2.1,+,2015-01-27
universal-analytics,2.1,-,2016-02-15
universal-analytics,2.2,+,2016-02-15
gwasviewer,1.0.0-SNAPSHOT,+,2016-02-16
gwtquery,1.4.3,+,2015-01-26
gwtquery,1.5-beta1,+,2016-01-14
gwtquery,1.4.0,-,2014-03-31
gwtquery,1.3.3,-,2013-12-13
gwtquery,1.3.3,+,2013-04-19
gwtquery,1.4.3,-,2016-01-14
gwtquery,1.3.3,+,2013-04-26
gwtquery,1.2.0,-,2013-04-19
gwtquery,1.4.1,+,2014-03-31
gwtquery,1.2.0,-,2012-11-12
gwtquery,1.4.2,-,2015-01-26
gwtquery,1.4.1,-,2014-07-18
gwtquery,1.4.0,+,2013-12-13
gwtquery,1.2.0,+,2012-11-12
gwtquery,1.3.3,-,2013-04-26
gwtquery,1.4.2,+,2014-07-18
