library,version,sign,date
cocoon-core,2.2.0,+,2009-11-16
cocoon-core,2.2.0,-,2009-11-03
cocoon-core,2.2.0,-,2009-11-02
cocoon-core,2.2.0,+,2009-11-03
cocoon-core,2.2.0,+,2009-11-02
cocoon-core,2.2.0,-,2009-11-16
ujac,0.9.25a,-,2009-11-16
ujac,0.9.25a,-,2009-11-03
ujac,0.9.25a,-,2009-11-02
ujac,0.9.25a,-,2010-04-16
ujac,0.9.25a,+,2009-11-02
ujac,0.9.25a,+,2009-11-03
ujac,0.9.25a,+,2009-11-16
tizzit-common,3.1.6,-,2012-04-04
tizzit-common,3.1.12-SNAPSHOT,-,2013-01-18
tizzit-common,3.1.3-SNAPSHOT,-,2010-07-09
tizzit-common,3.1.3-SNAPSHOT,-,2010-07-07
tizzit-common,3.1.2-SNAPSHOT,-,2010-04-15
tizzit-common,3.0.5-SNAPSHOT,-,2009-11-02
tizzit-common,3.1.0-SNAPSHOT,+,2009-11-03
tizzit-common,3.1.9,-,2012-11-13
tizzit-common,3.1.1-SNAPSHOT,-,2010-01-19
tizzit-common,3.0.4,+,2009-11-02
tizzit-common,3.1.5,-,2012-03-28
tizzit-common,3.0.5,-,2009-11-03
tizzit-common,3.1.8-SNAPSHOT,-,2012-07-27
tizzit-common,3.1.3-SNAPSHOT,+,2010-04-16
tizzit-common,3.1.11,-,2013-01-18
tizzit-common,3.1.13,-,2013-06-05
tizzit-common,3.1.6-SNAPSHOT,-,2012-03-28
tizzit-common,3.1.5-SNAPSHOT,-,2012-03-28
tizzit-common,3.1.0,-,2010-01-19
tizzit-common,3.1.4-SNAPSHOT,-,2012-03-28
tizzit-common,3.1.9-SNAPSHOT,-,2012-07-27
tizzit-common,3.1.4-SNAPSHOT,-,2010-07-09
tizzit-common,3.1.0-SNAPSHOT,-,2009-11-16
tizzit-common,3.1.1,-,2010-04-15
tizzit-common,3.1.8,-,2012-07-27
tizzit-common,3.1.11-SNAPSHOT,-,2013-01-14
tizzit-common,3.1.2,-,2010-04-16
tizzit-common,3.1.0-SNAPSHOT,-,2009-11-03
tizzit-common,3.1.13-SNAPSHOT,-,2013-06-05
tizzit-common,3.1.7-SNAPSHOT,-,2012-04-04
tizzit-common,3.1.4,-,2012-03-28
tizzit-common,3.0.4-SNAPSHOT,-,2009-11-02
tizzit-common,3.1.3,-,2010-07-09
tizzit-common,3.1.8-SNAPSHOT,-,2012-05-08
tizzit-common,3.1.10,-,2013-01-14
tizzit-common,3.1.12,-,2013-06-05
tizzit-common,3.0.4,-,2009-11-02
tizzit-common,3.1.7,-,2012-05-08
tizzit-common,3.1.0,+,2009-11-16
tizzit-common,3.1.10-SNAPSHOT,-,2012-11-13
cocoon-sitemap-impl,1.0.0-pl4,-,2009-11-02
cocoon-sitemap-impl,1.0.0-pl4,-,2009-11-03
cocoon-sitemap-impl,1.0.0-pl4,+,2009-11-16
cocoon-sitemap-impl,1.0.0,+,2009-11-03
cocoon-sitemap-impl,1.0.0-pl4,+,2009-11-02
cocoon-sitemap-impl,1.0.0-pl4,-,2009-11-16
cocoon-sitemap-impl,1.0.0,-,2009-11-16
cocoon-sitemap-impl,1.0.0-pl4,+,2009-11-03
cocoon-sitemap-impl,1.0.0,+,2009-11-16
xmlunit,1.1,-,2009-11-16
xmlunit,1.1,+,2009-11-16
xmlunit,1.1,+,2009-11-03
servlet-api,2.5,+,2010-07-09
servlet-api,2.4,+,2009-11-16
servlet-api,2.4,+,2009-11-03
servlet-api,2.4,-,2009-11-16
servlet-api,2.4,+,2009-11-02
servlet-api,2.4,-,2009-11-02
servlet-api,2.4,-,2009-11-03
