library,version,sign,date
imglib2-cache,1.0.0-beta-2,-,2017-04-05
imglib2-cache,1.0.0-beta-4,-,2017-05-05
imglib2-cache,1.0.0-beta-12,-,2020-03-26
imglib2-cache,1.0.0-beta-12,+,2018-05-14
imglib2-cache,1.0.0-beta-8,+,2018-02-27
imglib2-cache,1.0.0-beta-12,-,2018-05-14
imglib2-cache,1.0.0-beta-12,+,2019-08-15
imglib2-cache,1.0.0-beta-13,+,2020-03-26
imglib2-cache,1.0.0-beta-1,-,2017-03-14
imglib2-cache,1.0.0-beta-5,-,2018-02-27
imglib2-cache,1.0.0-beta-8,-,2018-10-24
imglib2-cache,1.0.0-SNAPSHOT,+,2016-11-17
imglib2-cache,1.0.0-SNAPSHOT,-,2017-03-10
n5,2.1.4,-,2020-03-26
n5,2.1.1,+,2019-08-23
n5,2.1.1,-,2020-01-15
ui-behaviour,1.0.4,-,2016-08-04
ui-behaviour,1.0.0,+,2015-12-07
ui-behaviour,1.3.0,-,2018-02-27
ui-behaviour,1.0.0,-,2016-01-20
ui-behaviour,1.3.0,+,2017-03-17
ui-behaviour,1.0.2,-,2016-04-25
ui-behaviour,1.1.0,-,2016-09-23
ui-behaviour,2.0.1,+,2019-10-29
ui-behaviour,1.0.5,-,2016-08-04
miglayout-swing,5.2,+,2020-04-28
spim_data,1.0.0-beta-3-SNAPSHOT,-,2014-10-27
spim_data,2.2.1,+,2017-10-05
spim_data,1.0.0-SNAPSHOT,-,2014-07-04
spim_data,1.0.0-beta-2,+,2014-08-07
spim_data,1.0.0-beta-3-SNAPSHOT,+,2014-08-07
spim_data,1.0.0-beta-2,-,2014-08-07
spim_data,1.0.0-SNAPSHOT,+,2014-04-16
spim_data,1.0.0-beta-2,-,2014-10-27
spim_data,2.2.1,-,2018-02-27
spim_data,2.2.3,+,2018-05-14
n5-imglib2,3.4.1,+,2019-08-23
scijava-listeners,1.0.0-beta-2,+,2018-12-13
jhdf5,13.06.2,-,2014-10-27
jhdf5,12.02.3,-,2013-05-07
jhdf5,12.02.3,+,2014-04-10
jhdf5,12.02.3,-,2014-04-16
jhdf5,12.02.3,-,2014-04-10
imglib2-ui,2.0.0-beta-32,+,2017-02-19
imglib2-ui,2.0.0-beta-32,-,2018-02-27
imglib2-ui,2.0.0-SNAPSHOT,-,2014-03-04
imglib2-realtransform,2.0.0-SNAPSHOT,-,2014-03-04
gson,2.2.4,+,2014-03-03
gson,2.2.4,-,2014-04-10
gson,2.2.4,-,2014-10-27
gson,2.2.4,+,2014-04-10
imglib2,5.1.0,+,2018-02-27
imglib2,2.0.0-SNAPSHOT,+,2014-04-16
imglib2,2.0.0-SNAPSHOT,+,2014-03-04
imglib2,4.2.0,-,2018-02-27
imglib2,3.3.1-SNAPSHOT,-,2017-03-10
imglib2,5.1.0,-,2018-10-24
imglib2,2.0.0-beta-26,+,2014-04-11
imglib2,4.0.0,-,2017-05-05
imglib2,5.8.0,-,2020-03-26
imglib2,5.8.0,+,2018-05-14
imglib2,5.9.0,+,2020-03-26
imglib2,3.3.0-SNAPSHOT,+,2017-02-10
imglib2,3.2.0,+,2016-06-08
imglib2,3.2.0,-,2016-07-15
imglib2,2.0.0-SNAPSHOT,-,2014-04-11
imglib2,2.0.0-beta-26,-,2014-04-16
imglib2,3.3.0-SNAPSHOT,-,2017-02-16
imglib2,2.0.0-SNAPSHOT,-,2014-08-07
imglib2,2.0.0-SNAPSHOT,-,2014-03-04
jdom2,2.0.5,-,2014-10-27
jdom2,2.0.5,+,2014-04-10
jdom2,2.0.5,+,2014-08-07
jdom2,2.0.5,+,2013-08-23
jdom2,2.0.5,-,2014-04-10
jdom2,2.0.5,+,2013-09-10
jdom2,2.0.5,-,2013-09-09
jdom2,2.0.5,-,2014-07-04
