library,version,sign,date
slf4j-log4j12,1.7.7,+,2014-06-10
util-registry_2.10,6.34.0,+,2016-12-13
util-registry_2.10,6.34.0,+,2016-10-13
util-registry_2.10,6.34.0,-,2016-10-15
application-module-stats,0.0.44,-,2016-12-13
application-module-stats,0.0.55,-,2016-10-15
application-module-stats,0.0.44,+,2014-06-10
application-module-stats,0.0.44,-,2014-09-30
commons-io,2.4,+,2017-04-04
commons-lang,2.5,+,2013-07-09
slf4j-api,1.6.1,+,2014-06-10
application,0.0.99,-,2016-10-15
application,0.0.45,-,2016-12-13
application,0.0.45,+,2014-06-10
application,0.0.45,-,2014-09-30
application,0.0.96,-,2016-10-13
stats,0.0.98,+,2014-05-29
stats,0.0.98,-,2014-09-30
stats,0.0.98,-,2016-12-13
stats,0.0.115,-,2016-10-15
util-core_2.10,6.34.0,+,2016-12-13
util-core_2.10,6.34.0,+,2016-10-13
util-core_2.10,6.34.0,-,2016-10-15
util-jvm_2.10,6.34.0,+,2016-12-13
util-jvm_2.10,6.34.0,+,2016-10-13
util-jvm_2.10,6.34.0,-,2016-10-15
guava,12.0,-,2014-06-10
guava,14.0,+,2014-06-10
application-module-log,0.0.45,-,2016-12-13
application-module-log,0.0.73,-,2016-10-15
application-module-log,0.0.45,+,2014-06-10
application-module-log,0.0.45,-,2014-09-30
httpclient,4.5.3,+,2017-04-04
javax.inject,1,-,2016-10-15
javax.inject,1,+,2016-10-13
javax.inject,1,+,2016-12-13
guice,4.0,-,2016-10-15
guice,4.0,+,2016-12-13
guice,4.0,+,2016-10-13
application-module-http,0.0.45,-,2016-12-13
application-module-http,0.0.45,+,2014-06-10
application-module-http,0.0.45,-,2014-09-30
application-module-http,0.0.95,-,2016-10-15
