library,version,sign,date
mockito-all,1.9.5,-,2013-11-22
mockito-all,1.9.5,+,2013-11-22
mockito-all,1.9.5,+,2013-11-01
junit,4.11,+,2013-10-29
junit,4.11,-,2013-11-22
junit,4.11,+,2013-11-05
junit,4.11,+,2013-11-22
junit,4.11,-,2013-11-05
hamcrest-all,1.3,-,2013-11-22
hamcrest-all,1.3,+,2013-11-22
hamcrest-all,1.3,+,2013-11-01
antlr,3.3,+,2013-11-22
antlr,3.3,-,2013-11-22
propity,0.0.1,+,2013-11-22
propity,1.0-SNAPSHOT,-,2013-11-22
scala-library,2.10.2,+,2013-11-02
scala-library,2.9.2,-,2013-11-22
scala-library,2.9.2,-,2014-10-05
scala-library,2.10.2,-,2013-11-02
scala-library,2.9.2,+,2013-11-22
