library,version,sign,date
groovy-all,1.6.2,+,2009-08-01
groovy-all,1.6.2,+,2010-09-24
groovy-all,1.6.2,+,2010-06-10
groovy-all,1.6.2,-,2009-08-01
groovy-all,1.6.2,+,2013-11-17
groovy-all,1.6.2,+,2011-11-02
groovy-all,1.6.0,-,2009-05-25
jta,1.1,+,2010-06-10
jta,1.1,+,2010-09-24
jta,1.1,+,2009-08-01
jta,1.1,-,2009-08-01
jta,1.1,+,2011-11-02
jta,1.1,+,2013-11-17
jdo2-api,2.3-ea,+,2009-08-01
jdo2-api,2.3-ea,+,2013-11-17
jdo2-api,2.3-ea,+,2010-06-10
jdo2-api,2.3-ea,+,2010-09-24
jdo2-api,2.3-20090302111651,-,2009-07-27
jdo2-api,2.3-ea,+,2011-11-02
jdo2-api,2.3-ea,-,2009-08-01
antlr,2.7.7,+,2013-11-17
antlr,2.7.7,-,2013-11-17
antlr,2.7.7,+,2010-06-10
antlr,2.7.7,+,2010-09-24
antlr,2.7.7,+,2009-08-01
antlr,2.7.7,-,2009-08-01
antlr,2.7.7,+,2011-11-02
antlr,2.7.6,-,2009-05-25
persistence-api,1.0,-,2009-08-01
persistence-api,1.0,+,2010-09-24
persistence-api,1.0,-,2010-09-24
persistence-api,1.0,-,2013-11-17
persistence-api,1.0,+,2011-11-02
persistence-api,1.0,+,2013-11-17
persistence-api,1.0,+,2009-08-01
persistence-api,1.0,+,2010-06-10
granite-generator-share,2.1.0.GA,+,2010-06-10
granite-generator-share,2.2.0.RC2,-,2011-11-02
granite-generator-share,2.3.2.GA,+,2013-11-17
granite-generator-share,2.0.0.B2,-,2009-05-25
granite-generator-share,2.0.0.GA,-,2009-08-01
granite-generator-share,2.3.0.GA,+,2011-11-02
granite-generator-share,2.0.0.GA,+,2009-08-01
granite-generator-share,2.2.0.RC2,+,2010-09-24
granite-generator-share,2.0.0.RC1,-,2009-06-24
granite-generator,1.1.0,+,2009-07-27
granite-generator,1.1.0,+,2009-07-07
granite-generator,2.3.2.GA,+,2013-11-17
granite-generator,1.1.0,+,2009-08-01
granite-generator,2.0.0.GA,-,2009-08-01
granite-generator,2.0.0.GA,-,2009-06-24
granite-generator,2.3.0.GA,+,2011-11-02
granite-generator,2.0.0.GA,+,2009-08-01
granite-generator,2.1.0.GA,+,2010-06-10
granite-generator,1.1.0,-,2009-07-07
granite-generator,2.2.0.RC2,-,2011-11-02
granite-generator,1.1.0,-,2013-11-17
granite-generator,2.0.0.B2,-,2009-05-25
granite-generator,1.1.0,-,2009-08-01
granite-generator,2.0.0.RC1,-,2009-06-04
granite-generator,2.2.0.RC2,+,2010-09-24
granite-generator,1.1.0,-,2010-03-15
granite-generator,1.1.0,-,2009-07-27
