library,version,sign,date
hsqldb,1.8.0.7,-,2014-01-28
hsqldb,1.8.0.7,+,2009-12-06
chromattic.spi,1.0.1-cr2,-,2011-03-26
chromattic.spi,1.0.0-beta3,-,2011-03-26
chromattic.spi,1.1.1-SNAPSHOT,-,2011-09-29
chromattic.spi,1.1.5-SNAPSHOT,-,2012-04-17
chromattic.spi,1.0.0-cr1,-,2011-03-26
chromattic.spi,1.0.0-beta6,-,2011-03-26
chromattic.spi,1.2.4-SNAPSHOT,-,2013-05-21
chromattic.spi,1.2.0-beta2-SNAPSHOT,-,2012-10-09
chromattic.spi,1.0.0-beta12,-,2011-03-26
chromattic.spi,1.3.0-beta3,-,2014-03-03
chromattic.spi,1.0.0-beta9,-,2011-03-26
chromattic.spi,1.1.3-SNAPSHOT,-,2012-01-16
chromattic.spi,1.1.0-beta2,-,2011-03-26
chromattic.spi,1.2.2,-,2013-04-17
chromattic.spi,1.0.0-beta16-SNAPSHOT,-,2011-03-26
chromattic.spi,1.2.5-SNAPSHOT,-,2013-12-13
chromattic.spi,1.0.0-beta7-SNAPSHOT,-,2009-11-18
chromattic.spi,1.3.0-beta2-SNAPSHOT,-,2014-01-28
chromattic.spi,1.1.2-SNAPSHOT,-,2011-11-02
chromattic.spi,1.1.3,-,2012-03-08
chromattic.spi,1.1.1,-,2011-11-02
chromattic.spi,1.0.1-cr1-SNAPSHOT,-,2010-04-09
chromattic.spi,1.1.0-beta3,-,2011-04-20
chromattic.spi,1.1.0-beta8-SNAPSHOT,-,2011-09-12
chromattic.spi,1.0.0-beta15-SNAPSHOT,-,2011-03-26
chromattic.spi,1.0.1,-,2011-03-26
chromattic.spi,1.2.4,-,2013-12-13
chromattic.spi,1.3.0-beta1-SNAPSHOT,-,2014-01-28
chromattic.spi,1.0.0-beta15,-,2011-03-26
chromattic.spi,1.0.0,-,2011-03-26
chromattic.spi,1.0.0-beta13-SNAPSHOT,-,2011-03-26
chromattic.spi,1.0.0-beta2,-,2009-09-10
chromattic.spi,1.1.0-beta4,-,2011-04-25
chromattic.spi,1.3.0-beta3-SNAPSHOT,-,2014-02-27
chromattic.spi,1.3.0-beta4-SNAPSHOT,-,2014-03-03
chromattic.spi,1.0.0-beta16,-,2011-03-26
chromattic.spi,1.3.0-beta1,-,2014-01-28
chromattic.spi,1.0.0-beta12-SNAPSHOT,-,2011-03-26
chromattic.spi,1.1.0,-,2011-09-29
chromattic.spi,1.0.1-cr1,-,2011-03-26
chromattic.spi,1.0.0-SNAPSHOT,-,2011-03-26
chromattic.spi,1.2.0,-,2012-11-23
chromattic.spi,1.1.0-beta3-SNAPSHOT,-,2011-03-26
chromattic.spi,1.0.0-beta17,-,2011-03-26
chromattic.spi,1.0.0-beta14-SNAPSHOT,-,2011-03-26
chromattic.spi,1.2.1-SNAPSHOT,-,2012-11-23
chromattic.spi,1.1.2,-,2012-01-16
chromattic.spi,1.0.0-SNAPSHOT,-,2009-07-27
chromattic.spi,1.1.5,-,2012-06-07
chromattic.spi,1.3.0-beta4,-,2014-03-25
chromattic.spi,1.1.0-beta2-SNAPSHOT,-,2011-03-23
chromattic.spi,1.1.0-beta7,-,2011-09-12
chromattic.spi,1.0.0-beta10-SNAPSHOT,-,2011-03-26
chromattic.spi,1.0.0-cr2-SNAPSHOT,-,2011-03-26
chromattic.spi,1.1.0-beta6-SNAPSHOT,-,2011-05-17
chromattic.spi,1.1.0-beta4-SNAPSHOT,-,2011-04-20
chromattic.spi,1.0.0-beta8-SNAPSHOT,-,2011-03-26
chromattic.spi,1.1.6-SNAPSHOT,-,2012-06-07
chromattic.spi,1.3.0-beta5-SNAPSHOT,-,2014-03-25
chromattic.spi,1.0.0-beta9-SNAPSHOT,-,2011-03-26
chromattic.spi,1.1.4-SNAPSHOT,-,2012-03-08
chromattic.spi,1.2.3-SNAPSHOT,-,2013-04-17
chromattic.spi,1.2.0-beta2,-,2012-10-31
chromattic.spi,1.2.2-SNAPSHOT,-,2013-04-04
chromattic.spi,1.0.0-beta8,-,2011-03-26
chromattic.spi,1.0.0-beta7-SNAPSHOT,-,2011-03-26
chromattic.spi,1.1.0-beta1,-,2011-03-26
chromattic.spi,1.0.0-beta1,-,2011-03-26
chromattic.spi,1.0.0-beta14,-,2011-03-26
chromattic.spi,1.1.0-beta5-SNAPSHOT,-,2011-04-25
chromattic.spi,1.0.0-cr3-SNAPSHOT,-,2011-03-26
chromattic.spi,1.2.0-beta1,-,2012-10-09
chromattic.spi,1.1.0-beta5,-,2011-05-17
chromattic.spi,1.0.0-beta7,-,2011-03-26
chromattic.spi,1.2.0-SNAPSHOT,-,2012-09-13
chromattic.spi,1.1.0-beta6,-,2011-06-15
chromattic.spi,1.2.1,-,2013-04-04
chromattic.spi,1.0.0-beta6-SNAPSHOT,-,2011-03-26
chromattic.spi,1.0.0-beta18-SNAPSHOT,-,2011-03-26
chromattic.spi,1.0.0-cr1-SNAPSHOT,-,2010-02-15
chromattic.spi,1.1.4,-,2012-04-17
chromattic.spi,1.3.0,-,2014-04-14
chromattic.spi,1.0.1-cr3-SNAPSHOT,-,2010-04-26
chromattic.spi,1.0.0-beta13,-,2011-03-26
chromattic.spi,1.0.0-beta11-SNAPSHOT,-,2009-12-17
chromattic.spi,1.0.0-beta5,-,2011-03-26
chromattic.spi,1.1.0-SNAPSHOT,-,2010-09-24
chromattic.spi,1.2.3,-,2013-05-21
chromattic.spi,1.0.1-cr2-SNAPSHOT,-,2010-04-13
chromattic.spi,1.0.2-cr1-SNAPSHOT,-,2011-03-26
chromattic.spi,1.2.0-beta3-SNAPSHOT,-,2012-10-31
chromattic.spi,1.0.0-beta10,-,2011-03-26
chromattic.spi,1.1.0-SNAPSHOT,-,2011-03-26
chromattic.spi,1.0.0-beta17-SNAPSHOT,-,2011-03-26
chromattic.spi,1.1.0-beta7-SNAPSHOT,-,2011-06-15
chromattic.spi,1.0.0-beta11,-,2011-03-26
chromattic.spi,1.0.0-beta2,+,2011-03-26
chromattic.spi,1.0.0-cr2,-,2011-03-26
chromattic.spi,1.0.0-beta4,-,2011-03-26
chromattic.spi,1.3.0-beta2,-,2014-02-27
chromattic.spi,1.0.0-beta5-SNAPSHOT,-,2011-03-26
jcr,1.0,-,2011-03-26
jcr,1.0,+,2009-07-27
jcr,1.0,+,2011-03-26
exo.jcr.component.core,1.14.1-GA,-,2011-09-29
exo.jcr.component.core,1.11.1,+,2011-03-26
exo.jcr.component.core,1.15.0-GA,-,2012-11-23
exo.jcr.component.core,1.14.3-GA,-,2011-11-02
exo.jcr.component.core,1.12.1-CR1,-,2011-03-26
exo.jcr.component.core,1.14.0-Beta03,+,2010-09-24
exo.jcr.component.core,1.12.1-GA,-,2010-04-27
exo.jcr.component.core,1.12.0-CR2,-,2011-03-26
