library,version,sign,date
wikbook.doc,0.9.39,-,2012-03-20
wikbook.doc,0.9.38-SNAPSHOT,-,2012-01-26
wikbook.doc,0.9.42-SNAPSHOT,-,2012-06-01
wikbook.doc,0.9.38,-,2012-03-20
wikbook.doc,0.9.36-SNAPSHOT,-,2012-01-23
wikbook.doc,0.9.36,-,2012-01-25
wikbook.doc,0.9.44,-,2013-01-30
wikbook.doc,0.9.44-SNAPSHOT,-,2013-01-25
wikbook.doc,0.9.37-SNAPSHOT,-,2012-01-25
wikbook.doc,0.9.40,-,2012-03-26
wikbook.doc,0.9.41-SNAPSHOT,-,2012-03-26
wikbook.doc,0.9.43,-,2013-01-25
wikbook.doc,0.9.40-SNAPSHOT,-,2012-03-20
wikbook.doc,0.9.39-SNAPSHOT,-,2012-03-20
wikbook.doc,0.9.41,-,2012-06-01
wikbook.doc,0.9.45,-,2013-01-31
wikbook.doc,0.9.45-SNAPSHOT,-,2013-01-30
wikbook.doc,0.9.42,-,2012-10-16
wikbook.doc,0.9.43-SNAPSHOT,-,2012-10-16
wikbook.doc,0.9.37,-,2012-01-26
