library,version,sign,date
junit,4.12,-,2020-01-05
junit,4.11,-,2015-01-24
junit,4.10,+,2012-08-26
junit,4.10,-,2012-08-26
junit,4.10,-,2012-12-02
logback-classic,1.1.2,-,2015-03-23
logback-classic,1.0.9,-,2013-03-10
logback-classic,1.1.3,-,2016-01-31
logback-classic,1.0.6,-,2012-09-11
logback-classic,1.1.4,-,2016-02-13
logback-classic,1.0.13,-,2014-03-01
logback-classic,1.1.1,-,2014-04-03
logback-classic,1.0.7,-,2012-12-02
logback-classic,1.1.6,-,2016-03-29
logback-classic,1.2.1,-,2017-03-09
logback-classic,1.0.10,-,2013-03-20
logback-classic,1.1.9,-,2017-02-11
logback-classic,1.1.7,-,2016-11-01
logback-classic,1.2.2,-,2017-04-22
logback-classic,1.1.8,-,2017-01-14
logback-classic,1.1.5,-,2015-12-01
logback-classic,1.0.11,-,2013-08-12
jakarta.xml.bind-api,2.3.2,-,2020-02-03
jmte,3.0,-,2014-09-29
jmte,3.1.1,-,2015-11-12
jmte,5.0.0,-,2020-02-03
jmte,3.0,+,2013-10-06
jmte,3.2.0,-,2020-02-02
jmte,3.0,-,2013-10-06
jmte,3.0,+,2013-09-01
littleproxy,0.5.3,-,2017-03-09
littleproxy,0.4,-,2013-04-04
littleproxy,0.5,-,2013-04-04
littleproxy,0.4,+,2012-11-26
littleproxy,0.5.1,-,2013-08-12
htmlunit-driver,2.36.0,-,2020-01-05
htmlunit-driver,2.35.1,+,2019-04-12
htmlunit-driver,2.29.1,+,2018-01-21
htmlunit-driver,2.28.2,-,2017-12-24
htmlunit-driver,2.30.1,+,2018-05-12
htmlunit-driver,2.26,-,2017-05-10
htmlunit-driver,2.26,+,2017-04-22
htmlunit-driver,2.30.1,-,2018-05-20
htmlunit-driver,2.32.1,-,2018-09-01
htmlunit-driver,2.29.0,-,2018-01-21
htmlunit-driver,2.29.2,+,2018-02-12
htmlunit-driver,2.29.0,+,2017-12-24
htmlunit-driver,2.36.0,+,2019-08-17
htmlunit-driver,2.28,+,2017-11-18
htmlunit-driver,2.21,+,2016-06-18
htmlunit-driver,2.34.0,+,2019-03-09
htmlunit-driver,2.31.0,-,2018-07-29
htmlunit-driver,2.52.0,+,2016-03-21
htmlunit-driver,2.30.0,+,2018-03-11
htmlunit-driver,2.28,-,2017-12-03
htmlunit-driver,${htmlunit.version},+,2020-01-05
htmlunit-driver,2.29.1,-,2018-02-12
htmlunit-driver,2.52.0,-,2016-06-18
htmlunit-driver,2.33.0,-,2018-10-21
htmlunit-driver,2.21,-,2016-11-01
htmlunit-driver,2.29.2,-,2018-03-11
htmlunit-driver,2.23.2,-,2017-02-11
htmlunit-driver,2.33.0,+,2018-09-01
htmlunit-driver,2.35.1,-,2019-08-17
htmlunit-driver,2.32.1,+,2018-07-29
htmlunit-driver,2.33.1,-,2018-11-03
htmlunit-driver,2.33.3,+,2018-11-03
htmlunit-driver,2.28.2,+,2017-12-03
htmlunit-driver,2.33.1,+,2018-10-21
htmlunit-driver,2.34.0,-,2019-04-12
htmlunit-driver,2.33.3,-,2019-03-09
htmlunit-driver,2.23.2,+,2016-11-01
htmlunit-driver,2.31.0,+,2018-05-20
htmlunit-driver,2.30.0,-,2018-05-12
htmlunit-driver,2.25,-,2017-04-22
htmlunit-driver,2.25,+,2017-02-11
diffutils,1.3.0,+,2013-11-25
phantomjsdriver,1.0.3,-,2013-08-12
phantomjsdriver,1.0.1,+,2013-01-26
phantomjsdriver,1.4.2,-,2017-05-10
phantomjsdriver,1.2.1,-,2016-03-29
phantomjsdriver,1.2.0,-,2015-06-23
phantomjsdriver,1.3.0,-,2017-02-11
phantomjsdriver,1.1.0,-,2014-07-03
phantomjsdriver,1.4.1,-,2017-04-22
phantomjsdriver,1.0.1,-,2013-03-10
phantomjsdriver,1.4.3,-,2017-12-30
phantomjsdriver,1.0.4,-,2013-12-17
commons-io,2.6,+,2017-11-18
commons-io,2.4,-,2016-06-18
commons-io,2.4,+,2012-08-29
slf4j-api,1.6.6,-,2012-09-11
slf4j-api,1.7.2,-,2013-02-03
commons-text,1.3,-,2018-07-12
commons-text,1.2,-,2018-03-11
commons-text,1.5,-,2018-10-21
commons-text,1.7,-,2019-10-06
commons-text,1.1,+,2017-08-26
commons-text,1.4,-,2018-09-01
commons-text,1.1,-,2017-12-24
commons-text,1.6,-,2019-06-23
jaxb-runtime,2.3.2,+,2019-10-21
jaxb-runtime,2.3.2,-,2020-03-15
selenium-shutterbug,0.9.2,-,2019-07-27
selenium-shutterbug,0.7,+,2018-06-16
selenium-shutterbug,0.9,-,2019-06-23
selenium-shutterbug,0.7,-,2018-07-14
jcl-over-slf4j,1.6.6,-,2012-09-11
jcl-over-slf4j,1.7.2,-,2013-02-03
hamcrest-all,1.3,+,2012-11-15
xalan,2.7.2,+,2016-03-21
gson,2.8.5,+,2018-07-29
gson,2.3.1,+,2016-01-31
gson,2.3.1,-,2016-07-02
gson,2.8.5,-,2019-10-06
commons-lang3,3.3.2,-,2015-03-28
commons-lang3,3.8,-,2018-09-01
commons-lang3,3.5,-,2017-06-25
commons-lang3,3.3,-,2014-03-18
commons-lang3,3.8.1,-,2019-04-12
commons-lang3,3.7,-,2018-07-29
commons-lang3,3.6,-,2017-09-02
commons-lang3,3.2.1,-,2014-03-05
commons-lang3,3.1,-,2013-12-17
commons-lang3,3.9,-,2020-03-15
commons-lang3,3.4,-,2016-11-01
commons-lang3,3.1,+,2012-12-23
commons-lang3,3.3.1,-,2014-04-03
commons-lang3,3.2,-,2014-01-07
nekohtml,1.9.22,+,2016-03-21
selenium-java,2.26.0,-,2012-12-02
selenium-java,2.28.0,-,2012-12-23
selenium-java,2.29.1,-,2013-02-03
selenium-java,2.27.0,-,2012-12-09
selenium-java,2.29.0,-,2013-01-20
selenium-java,2.25.0,-,2012-11-17
selenium-java,2.26.0,-,2012-11-17
selenium-java,2.25.0,-,2012-11-15
selenium-java,2.24.1,-,2012-08-26
guice,3.0,-,2012-08-07
guice,3.0,+,2012-08-02
guice,3.0,+,2012-08-07
