library,version,sign,date
junit,4.12,-,2015-10-08
junit,4.12,+,2014-11-06
junit,4.11,+,2013-12-13
junit,4.12,+,2015-10-08
junit,4.11,-,2013-12-06
junit,4.11,-,2014-11-06
commons-validator,1.4.1,+,2015-03-17
commons-validator,1.4.1,+,2015-10-08
commons-validator,1.4.0,+,2013-12-13
commons-validator,1.4.0,-,2015-03-17
commons-validator,1.4.0,-,2013-12-06
commons-validator,1.4.1,-,2015-10-08
commons-cli,1.3.1,+,2015-10-15
commons-cli,1.2,-,2015-10-15
commons-cli,1.3.1,-,2015-10-08
commons-cli,1.2,-,2015-10-08
commons-cli,1.2,-,2013-12-06
commons-cli,1.2,+,2013-12-13
commons-cli,1.3.1,+,2015-10-08
jacoco-maven-plugin,0.6.3.201306030806,-,2015-07-20
jacoco-maven-plugin,0.6.3.201306030806,-,2015-10-15
jacoco-maven-plugin,0.6.3.201306030806,+,2014-11-06
jacoco-maven-plugin,0.6.3.201306030806,+,2013-12-13
jacoco-maven-plugin,0.6.3.201306030806,+,2013-12-06
jacoco-maven-plugin,0.6.3.201306030806,-,2015-08-05
jacoco-maven-plugin,0.6.3.201306030806,+,2015-10-08
icu4j,53.1,+,2014-05-03
icu4j,54.1.1,-,2015-10-08
icu4j,54.1.1,-,2015-10-15
icu4j,52.1,+,2013-12-13
icu4j,52.1,-,2013-12-06
icu4j,56.1,+,2015-10-15
icu4j,56.1,-,2015-10-08
icu4j,53.1,-,2014-11-06
icu4j,56.1,+,2015-10-08
icu4j,52.1,-,2014-05-03
icu4j,54.1.1,+,2014-11-06
opencsv,2.3,-,2015-10-08
opencsv,2.3,+,2013-12-13
opencsv,2.3,-,2013-12-06
opencsv,2.3,+,2015-10-08
jscience,4.3.1,-,2013-12-06
jscience,4.3.1,+,2013-12-13
jscience,4.3.1,-,2015-10-08
jscience,4.3.1,+,2015-10-08
h2,1.4.189,-,2015-10-08
h2,1.4.178,+,2014-05-03
h2,1.4.186,+,2015-03-17
h2,1.4.189,+,2015-10-08
h2,1.4.186,-,2015-10-15
h2,1.4.182,-,2015-03-17
h2,1.4.182,+,2014-11-06
h2,1.3.174,+,2013-12-13
h2,1.3.175,-,2014-05-03
h2,1.3.175,+,2014-01-28
h2,1.4.178,-,2014-11-06
h2,1.3.174,-,2013-12-06
h2,1.3.174,-,2014-01-28
h2,1.4.189,+,2015-10-15
h2,1.4.186,-,2015-10-08
httpunit,1.7,+,2015-10-08
httpunit,1.7,-,2013-12-06
httpunit,1.7,+,2013-12-13
httpunit,1.7,-,2015-10-08
hibernate-core,4.2.0.Final,+,2013-12-15
hibernate-core,4.3.8.Final,-,2015-10-15
hibernate-core,4.3.7.Final,+,2014-11-06
hibernate-core,4.3.7.Final,-,2015-03-17
hibernate-core,4.3.8.Final,-,2015-10-08
hibernate-core,4.2.0.Final,+,2013-12-28
hibernate-core,4.2.4.Final,+,2013-12-13
hibernate-core,5.0.2.Final,+,2015-10-15
hibernate-core,4.2.4.Final,-,2013-12-15
hibernate-core,5.0.2.Final,+,2015-10-08
hibernate-core,4.3.8.Final,+,2015-03-17
hibernate-core,4.2.4.Final,-,2013-12-28
hibernate-core,4.2.4.Final,-,2013-12-06
hibernate-core,4.2.0.Final,-,2014-11-06
oro,2.0.8,+,2013-12-13
oro,2.0.8,-,2015-10-08
oro,2.0.8,+,2015-10-08
oro,2.0.8,-,2013-12-06
commons-lang,2.6,+,2013-12-13
commons-lang,2.6,-,2013-12-06
commons-lang,2.6,-,2015-10-08
commons-lang,2.6,+,2015-10-08
jasypt,1.9.1,-,2013-12-06
jasypt,1.9.1,+,2013-12-13
jasypt,1.9.1,-,2014-11-06
jasypt,1.9.2,+,2015-10-08
jasypt,1.9.2,+,2014-11-06
jasypt,1.9.2,-,2015-10-08
selenium-java-client-driver,1.0.1,+,2014-12-13
selenium-java-client-driver,1.0.1,-,2015-10-15
commons-codec,1.9,+,2015-10-08
commons-codec,1.10,+,2015-10-09
commons-codec,1.10,+,2015-10-15
commons-codec,1.9,-,2015-10-09
commons-logging,1.1.3,-,2013-12-06
commons-logging,1.2,-,2015-10-08
commons-logging,1.2,+,2014-11-06
commons-logging,1.2,+,2015-10-08
commons-logging,1.1.3,-,2014-11-06
commons-logging,1.1.3,+,2013-12-13
json,20140107,+,2014-01-28
json,20150729,+,2015-10-08
json,20141113,+,2014-11-06
json,20150729,+,2015-10-15
json,20141113,-,2015-10-08
json,20141113,-,2015-10-15
json,20140107,-,2014-11-06
json,20131018,-,2013-12-06
json,20131018,+,2013-12-13
json,20131018,-,2014-01-28
jcs,1.3,-,2015-10-08
jcs,1.3,-,2013-12-06
jcs,1.3,+,2013-12-13
jcs,1.3,+,2015-10-08
