library,version,sign,date
easymock,3.1,+,2015-01-26
easymock,3.1,+,2015-01-04
easymock,3.1,-,2015-01-26
easymock,3.1,-,2015-01-04
javax.servlet-api,3.0.1,-,2014-04-19
javax.servlet-api,3.1.0,+,2015-07-14
junit,4.4,+,2015-01-26
junit,4.4,+,2015-01-04
junit,4.4,-,2015-01-26
junit,4.4,-,2015-01-04
freemarker,2.3.14,-,2014-09-21
freemarker,2.3.20,-,2015-01-26
freemarker,2.3.20,-,2015-01-04
freemarker,2.3.20,+,2015-01-26
freemarker,2.3.20,+,2015-01-04
freemarker,2.3.20,-,2015-07-14
powermock-module-junit4,1.5.1,+,2015-01-04
powermock-module-junit4,1.5.1,-,2015-01-04
powermock-module-junit4,1.4.12,-,2013-11-02
json,20090211,-,2015-07-14
json,20090211,+,2015-01-04
json,20090211,-,2015-01-04
json,20160212,+,2015-07-14
powermock-module-test-easymock-junit4,1.5.1,+,2015-01-04
powermock-module-test-easymock-junit4,1.5.1,-,2015-01-04
powermock-module-test-easymock-junit4,1.4.12,-,2013-11-02
powermock-api-mockito,1.5.1,+,2015-01-04
powermock-api-mockito,1.5.1,-,2015-01-04
powermock-api-mockito,1.5.1,+,2014-10-01
commons-io,2.4,+,2014-01-19
commons-io,2.4,-,2015-01-26
commons-io,2.4,-,2015-01-04
commons-io,2.4,+,2015-01-26
commons-io,2.4,+,2015-01-04
commons-fileupload,1.2,-,2015-07-14
commons-fileupload,1.2,+,2015-01-26
commons-fileupload,1.2,+,2015-01-04
commons-fileupload,1.2,-,2015-01-26
commons-fileupload,1.2,-,2015-01-04
commons-fileupload,1.2,+,2014-01-19
