library,version,sign,date
geoip,1.2.5,-,2013-03-21
geoip,1.2.5,-,2013-04-01
geoip,1.2.5,-,2013-02-04
geoip,1.2.5,+,2013-02-28
stream,2.2.0,+,2013-04-01
commons-net,3.1,+,2013-02-25
kraken-dclass,0.0.2-SNAPSHOT,+,2013-03-03
kraken-dclass,0.0.2-SNAPSHOT,+,2013-03-19
kraken-dclass,0.0.1-SNAPSHOT,-,2013-03-03
kraken-dclass,0.0.1-SNAPSHOT,+,2013-02-04
guava,13.0,-,2013-02-04
guava,14.0.1,+,2013-04-01
guava,13.0.1,-,2013-04-01
guava,13.0.1,+,2013-03-02
httpclient,4.2.2,-,2013-02-04
httpclient,4.2.5,-,2013-06-03
httpclient,4.2.5,+,2013-04-25
