library,version,sign,date
junit,3.8.2,+,2012-07-17
junit,3.8.1,-,2012-02-20
junit,4.8.2,-,2012-07-17
junit,4.8.2,+,2012-02-20
junit,4.10,-,2012-02-20
junit,4.10,-,2012-07-17
junit,4.7,+,2012-07-17
junit,4.8.1,+,2012-02-20
junit,4.5,-,2012-02-20
junit,3.8.1,+,2012-07-17
junit,3.8.1,+,2012-02-20
junit,3.8,+,2012-02-20
junit,4.8.2,+,2012-07-17
junit,4.10,+,2012-02-20
junit,4.10,+,2012-07-17
junit,3.8.2,+,2012-02-20
log4j,1.2.14,+,2012-07-17
log4j,1.2.16,+,2012-07-17
log4j,1.2.14,-,2012-07-17
log4j,1.2.13,-,2012-02-20
log4j,1.2.13,+,2012-02-20
log4j,1.2.15,+,2012-07-17
log4j,1.2.14,-,2012-02-20
log4j,1.2.14,+,2012-02-20
log4j,1.2.12,+,2012-02-20
