library,version,sign,date
org.jaggeryjs.hostobjects.stream,0.9.0.ALPHA4.wso2v4,-,2014-04-09
org.jaggeryjs.hostobjects.stream,0.9.0.ALPHA4,-,2014-04-08
org.jaggeryjs.hostobjects.stream,0.9.0.ALPHA4,+,2013-05-28
org.jaggeryjs.hostobjects.stream,0.9.0-SNAPSHOT,-,2014-04-21
commons-logging,1.1.1,-,2015-01-30
commons-logging,1.1.1,-,2012-08-06
commons-logging,1.1.1,-,2014-04-21
commons-logging,1.1.1,+,2014-04-21
activation,1.1,-,2014-04-21
activation,1.1,+,2013-05-14
activation,1.1,-,2012-08-06
activation,1.1,+,2014-04-21
org.wso2.carbon.utils,4.2.0,-,2014-04-21
org.wso2.carbon.utils,4.0.2,-,2014-04-21
org.wso2.carbon.utils,4.0.2,+,2012-08-06
org.wso2.carbon.utils,4.2.0,+,2013-05-28
