library,version,sign,date
junit,3.8.2,-,2009-05-15
junit,4.1,+,2009-01-07
junit,4.7,+,2009-05-15
junit,3.8.1,-,2009-01-07
spring-me-maven-plugin,1.0-SNAPSHOT,-,2009-05-15
spring-me-maven-plugin,1.0-SNAPSHOT,-,2009-05-13
spring-me-maven-plugin,1.0-SNAPSHOT,+,2009-05-13
spring-me-maven-plugin,...,+,2009-05-15
spring-me-maven-plugin,1.1-SNAPSHOT,-,2010-02-25
spring-me-maven-plugin,1.0-SNAPSHOT,-,2009-01-07
spring-me-maven-plugin,1.0-SNAPSHOT,+,2009-01-07
spring-me-maven-plugin,1.1-SNAPSHOT,+,2009-05-15
spring-me-maven-plugin,1.1-SNAPSHOT,-,2009-05-15
spring-me-maven-plugin,1.0,-,2009-05-15
maven-plugin-testing-harness,1.1,+,2009-05-15
maven-verifier,1.2-SPRINGME-774506,-,2009-05-15
maven-verifier,1.2,+,2009-05-15
maven-verifier,1.2-SNAPSHOT,-,2009-01-07
