library,version,sign,date
httpmime,4.0,-,2014-04-29
httpmime,4.0,+,2014-04-29
httpmime,4.0,+,2014-01-19
junit,4.11,-,2014-04-29
junit,4.11,+,2014-04-29
mail,1.4.7,+,2017-10-17
commons-collections,3.2.1,+,2014-04-29
commons-collections,3.2.1,-,2014-04-29
apache-mime4j,0.6,-,2014-04-29
apache-mime4j,0.6,+,2014-04-29
apache-mime4j,0.6,+,2014-01-19
poi,3.6,+,2014-01-19
poi,3.14,+,2016-12-05
poi,3.6,-,2014-03-12
poi,3.6,-,2014-01-21
poi,3.10-FINAL,+,2014-04-29
poi,3.14,-,2018-06-08
poi,3.17,+,2018-06-08
poi,3.10-FINAL,-,2016-12-05
poi,3.6,+,2014-01-21
poi,3.10-FINAL,-,2014-04-29
hibernate-core,4.3.11.Final,-,2016-03-03
hibernate-core,4.3.11.Final,+,2015-12-15
hibernate-core,4.3.11.Final,-,2016-02-21
hibernate-core,3.5.6-Final,-,2014-04-29
hibernate-core,4.3.11.Final,+,2015-10-19
hibernate-core,4.3.11.Final,-,2015-11-11
hibernate-core,3.5.6-Final,+,2014-03-03
hibernate-core,3.5.6-Final,-,2014-05-21
hibernate-core,3.5.6-Final,+,2014-04-29
jwic-core,5.2-SNAPSHOT,-,2014-01-21
jwic-core,5.2.1-SNAPSHOT,-,2014-03-12
commons-lang,2.6,+,2014-04-29
commons-lang,2.6,-,2014-04-29
dom4j,1.6,-,2015-12-15
dom4j,1.6,-,2015-10-19
dom4j,1.6,+,2014-04-29
dom4j,1.6.1,-,2015-11-11
dom4j,1.6,-,2014-04-29
poi-ooxml-schemas,3.6,+,2014-01-19
poi-ooxml-schemas,3.6,-,2014-03-12
poi-ooxml-schemas,3.6,-,2014-01-21
poi-ooxml-schemas,3.10-FINAL,+,2014-04-29
poi-ooxml-schemas,3.10-FINAL,-,2016-12-05
poi-ooxml-schemas,3.6,+,2014-01-21
poi-ooxml-schemas,3.10-FINAL,-,2014-04-29
poi-ooxml,3.6,+,2014-01-19
poi-ooxml,3.6,-,2014-03-12
poi-ooxml,3.6,-,2014-01-21
poi-ooxml,3.10-FINAL,+,2014-04-29
poi-ooxml,3.10-FINAL,-,2016-12-05
poi-ooxml,3.6,+,2014-01-21
poi-ooxml,3.10-FINAL,-,2014-04-29
mockito-all,1.9.5,+,2014-10-10
jta,1.1,-,2014-01-21
jta,1.1,+,2014-04-29
jta,1.1,+,2014-01-21
jta,1.1,-,2014-04-29
hibernate-entitymanager,3.5.6-Final,-,2014-04-29
hibernate-entitymanager,3.5.6-Final,+,2014-03-03
hibernate-entitymanager,3.5.6-Final,-,2014-05-21
hibernate-entitymanager,3.5.6-Final,+,2014-04-29
commons-logging,1.1.1,+,2014-04-29
commons-logging,1.1.1,-,2014-04-29
gson,2.7,+,2016-08-19
httpclient,4.5.1,+,2015-10-16
servlet-api,2.5,+,2014-04-29
servlet-api,2.5,-,2014-04-29
log4j,1.2.17,+,2014-04-29
log4j,1.2.17,-,2014-04-29
httpcore,4.0,-,2014-04-29
httpcore,4.0,-,2015-10-16
httpcore,4.0,+,2014-04-29
httpcore,4.0,+,2014-01-19
