library,version,sign,date
xwiki-core-shared-tests,2.4-SNAPSHOT,-,2010-06-19
xwiki-core-shared-tests,2.4-SNAPSHOT,+,2010-06-19
xwiki-core-shared-tests,2.4-SNAPSHOT,-,2010-11-09
xwiki-core-shared-tests,2.3-SNAPSHOT,-,2010-06-19
commons-logging,1.1,-,2010-06-19
xwiki-core,2.4-SNAPSHOT,-,2010-06-19
xwiki-core,2.0.5,+,2010-06-19
xwiki-core,1.9.3,+,2010-06-19
xwiki-core,2.4-SNAPSHOT,+,2010-06-19
xwiki-core,1.5.2,-,2010-11-09
xwiki-core,[2.0,),-,2010-11-09
xwiki-core,2.3.2,+,2010-06-19
xwiki-core,2.0.5,-,2010-06-19
xwiki-core,1.9.3,-,2010-06-19
xwiki-core,[1.8.4,),-,2010-06-19
xwiki-core,[1.8.4,),+,2010-06-19
xwiki-core,2.4-SNAPSHOT,-,2010-11-09
xwiki-core,1.8.1,-,2010-06-19
xwiki-core-bridge,2.4-SNAPSHOT,+,2010-06-19
xwiki-core-bridge,2.4-SNAPSHOT,-,2010-11-09
xwiki-core-bridge,1.8.1,-,2010-06-19
xwiki-core-bridge,2.3-SNAPSHOT,-,2010-06-19
