library,version,sign,date
minecraft-deobf,1.4.2-wecui,-,2012-10-31
minecraft-deobf,1.0-wecui,-,2011-12-01
minecraft-deobf,1.2-wecui,-,2012-03-02
minecraft-deobf,1.1-wecui,-,2012-03-02
minecraft-deobf,1.3.2-wecui,-,2012-08-25
minecraft-deobf,1.3-wecui,-,2012-07-30
minecraft-deobf,1.0-wecui,-,2012-01-05
minecraft-deobf,1.0-wecui,+,2011-11-30
minecraft-deobf,1.0,-,2011-11-30
minecraft-deobf,1.0,+,2011-11-29
minecraft-deobf,1.0-wecui,+,2011-12-01
minecraft-deobf,1.2.5-wecui,-,2012-06-01
minecraft-deobf,1.0,-,2011-11-29
minecraft-deobf,1.3.1-wecui,-,2012-08-06
SPCInterfaces,1.0,+,2011-12-23
lwjgl,2.8.2,-,2011-11-29
lwjgl,2.8.2,+,2011-11-29
snakeyaml,1.9,+,2011-12-19
