library,version,sign,date
smallmind-nutsnbolts,1.3.21,-,2011-12-21
smallmind-nutsnbolts,1.3.22,-,2011-12-21
smallmind-nutsnbolts,1.3.21,-,2011-12-19
smallmind-nutsnbolts,1.3.21,+,2011-12-19
smallmind-nutsnbolts,1.0,-,2010-07-08
wicket-core,1.5.2,-,2012-03-31
wicket-core,1.5-RC5.1,-,2011-10-13
wicket-core,1.5.7,-,2013-05-15
wicket-core,6.9.1,-,2014-05-07
wicket-core,1.5-RC5.1,+,2011-07-15
wicket-core,1.5.7,+,2012-07-20
wicket-core,1.5.7,-,2012-07-20
wicket-core,1.5.5,-,2012-06-21
wicket-core,6.15.0,-,2015-01-10
javax.servlet-api,3.1.0,-,2019-01-06
javax.servlet-api,4.0.1,-,2019-11-25
javax.servlet-api,3.0.1,-,2015-11-28
javax.servlet-api,4.0.1,+,2019-11-25
javax.servlet-api,3.0.1,+,2012-11-16
smallmind-persistence,1.3.21,-,2011-12-21
smallmind-persistence,1.3.22,-,2011-12-21
smallmind-persistence,1.3.21,-,2011-12-19
smallmind-persistence,1.3.21,+,2011-12-19
freemarker,2.3.20,-,2019-03-18
freemarker,2.3.16,+,2011-02-28
freemarker,2.3.16,+,2010-07-08
freemarker,2.3.16,+,2010-06-29
freemarker,2.3.14,-,2010-06-29
freemarker,2.3.16,-,2010-07-08
freemarker,2.3.16,-,2010-06-29
freemarker,2.3.18,-,2012-03-31
freemarker,2.3.16,-,2011-02-28
freemarker,2.3.19,-,2012-07-20
freemarker,2.3.16,-,2011-08-24
freemarker,2.3.19,+,2012-07-20
freemarker,2.3.19,-,2013-09-05
freemarker,2.3.16,+,2010-06-24
smallmind-swing,1.3.21,-,2011-12-21
smallmind-swing,1.3.22,-,2011-12-21
smallmind-swing,1.3.21,-,2011-12-19
smallmind-swing,1.3.21,+,2011-12-19
jackson-core,2.4.3,-,2015-01-10
jackson-core,2.2.1,-,2014-05-07
jackson-core,2.3.3,-,2014-10-20
jackson-core,2.2.1,+,2013-01-09
wicket-extensions,6.9.1,-,2014-05-07
wicket-extensions,1.4.9,-,2011-02-28
wicket-extensions,1.5.7,+,2012-07-20
wicket-extensions,1.4.9,+,2010-06-24
wicket-extensions,1.5.7,-,2012-07-20
wicket-extensions,1.5.5,-,2012-06-21
wicket-extensions,1.4.9,-,2010-07-08
wicket-extensions,1.4.9,-,2010-06-29
wicket-extensions,1.3.5,-,2010-06-29
wicket-extensions,6.15.0,-,2015-01-10
wicket-extensions,1.5.2,-,2012-03-31
wicket-extensions,1.5-RC5.1,-,2011-10-13
wicket-extensions,1.4.9,-,2011-05-10
wicket-extensions,1.4.17,-,2011-07-15
wicket-extensions,1.5.7,-,2013-05-15
wicket-extensions,1.4.9,+,2010-07-08
wicket-extensions,1.4.9,+,2010-06-29
wicket-extensions,1.4.9,+,2011-02-28
