library,version,sign,date
junit,4.10,-,2015-12-17
junit,4.12,-,2017-11-29
junit,4.10,+,2013-11-26
junit,4.12,+,2017-11-29
ckez,3.6.0.0,+,2012-04-10
ckez,3.6.0.0,-,2012-03-23
ckez,3.6.0.0,+,2013-11-26
zats-mimic,1.0.0-SNAPSHOT,-,2012-05-11
zats-mimic,2.0.1-SNAPSHOT,-,2018-01-29
zats-mimic,2.1.0-SNAPSHOT,-,2019-05-02
zats-mimic,1.1.0-SNAPSHOT,-,2012-06-22
zats-mimic,0.9.0-SNAPSHOT,-,2012-04-23
zats-mimic,1.2.0-SNAPSHOT,-,2013-11-26
zats-mimic,0.9.0,-,2012-03-30
zats-mimic,0.9.0-SNAPSHOT,-,2012-03-27
zats-mimic,1.2.1-SNAPSHOT,-,2014-01-20
zats-mimic,2.0.0-SNAPSHOT,-,2017-09-12
zats-mimic,1.1.1-SNAPSHOT,-,2013-10-31
zats-mimic,0.9.0.FL.20120402,-,2012-04-02
commons-io,1.3.1,+,2012-06-22
commons-io,1.3.1,-,2012-03-23
commons-io,1.3.1,+,2012-05-29
commons-io,1.3.1,-,2014-01-20
commons-io,1.3.1,+,2013-11-26
commons-io,1.3.1,-,2017-11-29
zkplus,5.0.10,-,2012-03-23
zkplus,6.0.0,-,2013-11-26
zkplus,6.0.0,+,2012-04-17
zkplus,7.0.0,-,2017-11-29
zhtml,5.0.10,-,2012-03-23
zhtml,5.0.10,-,2012-04-03
zhtml,6.0.0,-,2013-11-26
zhtml,6.0.0,-,2012-04-03
zhtml,6.0.0,-,2012-03-23
zhtml,7.0.0,-,2017-11-29
zkbind,6.0.0,-,2012-04-03
