library,version,sign,date
52n-xml-waterML-v20,0.0.5,-,2012-08-17
52n-xml-waterML-v20,1.0.0-SNAPSHOT,-,2012-07-17
oxf-common,2.0.0-alpha.4-SNAPSHOT,+,2013-08-02
52n-xml-gml-v311,1.0.0,-,2012-07-13
52n-xml-gml-v321,1.0.2,-,2012-07-13
52n-xml-sweCommon-v101,1.0.0,-,2012-07-13
52n-oxf-xmlbeans,2.0.0-alpha.4-SNAPSHOT,+,2013-08-02
xmlbeans,2.6.0,+,2013-09-02
xmlbeans,2.3.0,-,2012-08-17
xmlbeans,2.6.0,+,2013-12-02
xmlbeans,2.6.0,+,2015-05-12
xmlbeans,2.6.0,-,2013-12-02
xmlbeans,2.6.0,-,2015-05-12
jts,1.11,-,2015-05-12
jts,1.11,+,2013-04-11
jts,1.11,-,2012-08-17
jts,1.11,+,2015-05-12
jts,1.11,+,2012-08-17
jts,1.11,+,2013-08-02
jts,1.11,-,2013-02-11
jts,1.11,-,2013-08-02
jts,1.11,-,2013-04-11
jts,1.11,+,2013-02-11
52n-xml-sampling-v100,1.0.0,-,2012-07-13
52n-xml-om-v100,1.0.0,-,2012-07-13
