library,version,sign,date
junit,[4.10.0,),-,2012-05-21
junit,3.8.1,-,2011-07-27
junit,[4.8.0,),+,2011-07-27
junit,[4.8.0,),-,2012-01-13
junit,4.10,-,2013-11-18
cglib,2.2.2,-,2014-12-01
cglib,[2.2.2,),-,2012-05-21
cglib,[2.2.2,),+,2011-07-27
slf4j-log4j12,[1.6.4,),-,2012-05-21
slf4j-log4j12,1.6.2,-,2011-11-01
slf4j-log4j12,1.6.4,-,2014-12-01
slf4j-log4j12,[1.6.2,),-,2011-11-01
slf4j-log4j12,1.6.3,-,2012-01-13
slf4j-log4j12,[1.6.2,),+,2011-07-27
validation-api,1.0.0.GA,-,2014-12-01
validation-api,[1.0.0.GA,),-,2012-05-21
validation-api,[1.0.0.GA,),+,2011-07-27
mail,[1.4.0,),+,2011-07-27
mail,[1.4.5,),-,2012-05-21
mail,[1.4.0,),-,2012-01-13
mail,1.4.5,-,2014-12-01
hsqldb,[2.2.4,),-,2012-01-13
hsqldb,[2.2.4,),+,2011-07-27
hsqldb,2.2.8,-,2014-12-01
hsqldb,[2.2.8,),-,2012-05-21
commons-dbcp,[1.4,),-,2012-05-21
commons-dbcp,[1.4,),+,2011-07-27
spring-context-support,4.1.2.RELEASE,+,2014-12-01
slf4j-api,[1.6.4,),-,2012-05-21
slf4j-api,1.6.1,-,2011-11-01
slf4j-api,1.6.4,-,2014-12-01
slf4j-api,[1.6.1,),-,2011-11-01
slf4j-api,[1.6.1,),+,2011-07-27
slf4j-api,1.6.3,-,2012-01-13
jcl-over-slf4j,[1.6.4,),-,2012-05-21
jcl-over-slf4j,1.6.2,-,2011-11-01
jcl-over-slf4j,1.6.4,-,2014-12-01
jcl-over-slf4j,[1.6.2,),-,2011-11-01
jcl-over-slf4j,1.6.3,-,2012-01-13
jcl-over-slf4j,[1.6.2,),+,2011-07-27
hibernate-validator,4.3.0.Final,-,2014-12-01
hibernate-validator,[4.2.0.Final,),-,2012-05-21
hibernate-validator,[4.2.0.Final,),+,2011-07-27
spring-orm,[3.1.1.RELEASE,),-,2012-05-21
spring-orm,[3.0.6.RELEASE,),-,2012-01-13
spring-orm,[3.0.6.RELEASE,),+,2011-07-27
spring-orm,3.1.1.RELEASE,-,2014-12-01
hibernate-entitymanager,4.1.3.Final,-,2014-12-01
hibernate-entitymanager,[4.1.3.Final,),+,2012-01-13
hibernate-entitymanager,[4.1.3.Final,),-,2012-05-21
log4j,[1.2.16,),-,2012-05-21
log4j,1.2.16,-,2014-12-01
log4j,[1.2.16,),+,2011-07-27
javassist,[3.16.1.GA,),-,2012-05-21
javassist,3.16.1-GA,-,2014-12-01
javassist,[3.12.1.GA,),-,2012-01-13
javassist,[3.12.1.GA,),+,2011-07-27
