library,version,sign,date
cilia-remote-distribution,1.6.2-SNAPSHOT,-,2012-12-20
cilia-remote-distribution,1.5.3-SNAPSHOT,-,2012-12-05
cilia-remote-distribution,1.5.3-SNAPSHOT,-,2012-12-04
cilia-remote-distribution,1.6.3,-,2013-02-12
cilia-remote-distribution,1.6.2,-,2012-12-20
cilia-remote-distribution,1.5.1,-,2012-09-20
cilia-remote-distribution,1.6.1-SNAPSHOT,-,2012-12-20
cilia-remote-distribution,1.5.2-SNAPSHOT,+,2012-09-20
cilia-remote-distribution,1.6.1-SNAPSHOT,-,2012-12-11
cilia-remote-distribution,1.6.0,-,2012-12-05
cilia-remote-distribution,1.5.2-SNAPSHOT,-,2012-09-20
cilia-remote-distribution,1.5.2-SNAPSHOT,-,2012-09-21
cilia-remote-distribution,1.5.1-SNAPSHOT,-,2012-09-19
cilia-remote-distribution,1.6.3-SNAPSHOT,-,2012-12-20
cilia-remote-distribution,1.6.1,-,2012-12-20
cilia-remote-distribution,1.5.2,-,2012-09-21
cilia-remote-distribution,1.6.4-SNAPSHOT,-,2013-02-12
cilia-remote-distribution,1.6.3-SNAPSHOT,-,2013-02-12
